story|action|classified_action|similarity
As a Public User, I want to Search for Information, so that I can obtain publicly available information concerning properties, County services, processes and other general information.|search|read|0.5482967495918274
As a ProspectiveApplicant, I want to research requirements, so that I can find the relevant service and/or application type to initiate via the online portal.|research|read|0.40343523025512695
As a ProspectiveApplicant, I want to select a service, so that I can find the relevant service and/or application type to initiate via the online portal.|select|read|0.5525406002998352
As an Applicant, I want to Request PreApplication Assistance, so that I can receive a response to a request for a meeting or information that is a result of the preapplication assistance.|request|read|0.47424155473709106
As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication.|create|read|0.5128220915794373
As an Applicant, I want to Submit Application, so that I can provide my information, plans and/or documents to initiate a transaction with the County.|submit|read|0.5529292821884155
As an Applicant, I want to Submit Supporting Documentation, so that I can satisfy documentation requirements for my application.|submit|create|0.5399165153503418
As an Applicant, I want to Pay Fee, so that I can satisfy outstanding charge associated with the service requested or received from the County.|pay|read|0.4603515863418579
As an Applicant, I want to Check the Status of a transaction, so that I can understand where the provisioning of my service is in the process, such as information related to service levels, fees, plan review, permit, or inspection results.|check|read|0.5415320992469788
As an Applicant, I want to Modify my Application, so that I can successfully change information on an application.|modify|read|0.5158172845840454
As a Staff member, I want to Perform a Completeness Review, so that I can validate when an application is complete and eligible for further technical review.|perform|read|0.47156697511672974
As a Staff member, I want to Record an Internal Note, so that I can share information with other Staff collaborating on the record.|record|read|0.4014040529727936
As a Staff member, I want to Assign an Application for Detailed Review, so that I can review the for compliance and subsequently approved or denied.|assign|read|0.6165811419487
As a Staff member, I want to Apply a Hold, so that I can prevent progression through the workflow or other actions in the system until the issue is resolved.|apply|read|0.4759077727794647
As a Staff member, I want to Remove a Hold, so that I can allow progression through the workflow or other actions in the system now that the issue has been resolved.|remove|delete|0.553580641746521
As a Staff member, I want to Send a Formal Response to Applicant, so that I can satisfy communication and records responsibilities.|send|read|0.47095224261283875
As a Staff member, I want to Track  the Draft Proffers, so that I can preserve the history of draft proffer statements submitted by the Applicant.|track|read|0.452960729598999
