story|action|classified_action|similarity
As a PI, I want to properly record all metadata, so that I can ensure proper running of the project in case of staff changes.|properly record|delete|0.2319072037935257
As a researcher, I want to indicate where my data will be stored during the project and where after the project, so that it remains accessible during all stages of the data lifecycle.|indicate|read|0.32434573769569397
As a researcher, I want to import metadata that I captured with a metadata tool, so that I do not have to capture it again in a DMP.|import|create|0.268255352973938
As a data manager, I want to know how the data is used, so that I can develop more detailed usage and support scenarios with researchers.|know|read|0.41817837953567505
As a repository owner, I want to be able to check the planned provenance of the data that will be submitted at the end of a project, so that I can calculate necessary submission fees and check whether it belongs to our target group.|check|read|1.0
As an IT manager, I want to know about IT resource requirements early in the project lifecycle, so that I can enable resource acquisition planning.|know|read|0.41817837953567505
As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.|plan|update|0.22545401751995087
As an IT staff member, I want to know the security requirements of the data, so that I know which kind of security measures to apply.|know|read|0.41817837953567505
As a data manager, I want to have the description of collected data sets that are used or updated throughout the project lifecycle, so that I can ensure the descriptions are current and add detail as the study proceeds.|have|create|0.303507536649704
As a researcher, I want to know which topics are mandatory and similar in all DMPs, so that I can save time through quickly writing it.|know|read|0.41817837953567505
As a data manager, I want to know what the content of the data is, so that I can decide to which collection or repository the data fits.|know|read|0.41817837953567505
As a PI, I want to record information about my DMP, so that an Ethics Committee can review this for compliance with ethical standards.|record|delete|0.14686624705791473
As a legalofficer, I want to know about data sensitivity, so that I can establish sharing options.|know|read|0.41817837953567505
As a data librarian, I want to extract pointers from the DMP to metadata held in other systems, so that I can import this metadata into a data catalogue.|extract|create|0.4114963710308075
As an IT staff member, I want to have an estimate of the produced data volume, so that I can plan the overall storage consumption.|have|create|0.303507536649704
As an administrator, I want to know who funded the project and their requirements, so that I can track the funder specific obligations.|know|read|0.41817837953567505
As an archivemanager, I want to know the legal status of data, so that I can apply the legal requirements accordingly.|know|read|0.41817837953567505
As a data manager, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.|know|read|0.41817837953567505
As an IT staff member, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.|know|read|0.41817837953567505
As an archivemanager, I want to know in advance the conservation period of data, so that I can better organize the service by adapting the preservation actions.|know in advance|read|0.4213859736919403
As a data manager, I want to document all rights necessary for managing the data, so that I can curate and preserve the data.|document|update|0.22665981948375702
As a data manager, I want to know what the content of the data is, so that I can check whether the necessary expertise for maintaining intellectual reusability is available.|know|read|0.41817837953567505
As a research head, I want to access to the persistent identifiers of datasets provided in the DMP, so that I can check that the DMP has been implemented.|access|read|1.0
As a funder, I want to be able to read the costs for data management from the DMP, so that I can check whether our policies work as intended.|read|read|1.0
