story|action|classified_action|similarity
As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations.|get|read|0.5342079401016235
As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations.|get|read|0.5374398827552795
As a Publisher, I want to add type information to my data, so that it is more useful to others and can be used better with tools like visualization programs.|add|read|0.5653650164604187
As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data.|provide|read|0.5529977679252625
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package.|save|create|0.5257183313369751
As a ResearcherPublisher, I want to know that my data conforms to its Data Package profile, so that I can feel trust in the validity and usefulness of the data.|know|read|0.3608541190624237
As a ResearcherPublisher, I want to understand the ways in which my data is invalid, so that I can know how to fix it.|understand|read|0.49289053678512573
As a Researcher, I want to get a Data Package into R in seconds, so that I can start using the data for doing analysis and visualizations.|get|read|0.50563645362854
As a Researcher, I want to get a Data Package into Excel in seconds, so that I can start using the data for doing analysis and visualizations.|get|read|0.5467211604118347
As a Researcher, I want to get a Data Package into SPSS in seconds, so that I can start using the data for doing analysis and visualizations.|get|read|0.52808678150177
As a Researcher, I want to get a Data Package into STATA in seconds, so that I can start using the data for doing analysis and visualizations.|get|read|0.5300338864326477
As a Researcher, I want to be able to translate my EML dataset to a Data Package, so that I can benefit from the wide array of tools available for Data Packages.|translate|read|0.5737807750701904
As a Researcher, I want to get a Data Package into LibreOffice/OpenOffice in seconds, so that I can start using the data for doing analysis and visualizations.|get|read|0.52808678150177
As a Developer, I want to get a Data Package into Python in seconds, so that I can start using the data for doing analysis and visualizations.|get|read|0.5159603357315063
As a Developer, I want a jQuery plugin for Core Data Packages, so that I can use it to apply to form control that uses a core dataset for autocompletion.|want|read|0.4759700298309326
As a Researcher, I want to get my Excel spreadsheet into a Data Package, so that I can benefit from better tooling and standardization.|get|read|0.5629020929336548
As a Developer, I want to do exploratory data analysis in R, so that I can use the best tool for the job.|do|read|0.4263406991958618
As a Developer, I want to operationalize that analysis in Python, so that I can use the best tool for the job.|operationalize|read|0.3608541190624237
As a Developer, I want to get a Data Package into Clojure in seconds, so that I can start using the data in doing analysis and visualizations.|get|read|0.52808678150177
As a Developer, I want to get a Data Package into Julia in seconds, so that I can start using the data in doing analysis and visualizations.|get|read|0.5374398827552795
As a Developer, I want to get a Data Package into C++ in seconds, so that I can start using the data in doing analysis and visualizations.|get|read|0.52808678150177
As a Machine Learning expert, I would like to package ML datasets as data packages, so that I can easily import them into my ML platform, so that I can start using the data in doing analysis.|package|read|0.4502372741699219
As a Developer, I want an Elasticsearch integration, so that I can integrate data-packaged data with pipelines that use Elasticsearch.|want|read|0.38627681136131287
As a Developer, I want an SPSS integration, so that I can integrate data-packaged data with pipelines that use SPSS.|want|read|0.38627681136131287
As a Developer, I want an EPrints integration, so that I can integrate data-packaged data with pipelines that use EPrints.|want|read|0.38627681136131287
As a Developer, I want a Mongo integration, so that I can integrate data-packaged data with pipelines that use Mongo.|want|read|0.3766781687736511
As a Developer, I want a DAT integration, so that I can integrate data-packaged data with pipelines that use DAT.|want|read|0.311460018157959
As a ResearcherGovernment Publisher, I want to add general reference data to my narrow dataset, so that my dataset is more useful.|add|read|0.5509328246116638
As a ResearcherGovernment Publisher, I want to add general country names to my dataset that only contains country codes, so that my dataset is more readable.|add|read|0.49368351697921753
As a ResearcherGovernment Publisher, I want to add reference data on inflation to my spending dataset, so that the spending lines in my dataset is more understandable.|add|read|0.4950360357761383
As a ResearcherGovernment Publisher, I want to map lines in my dataset using geographic data in my dataset, so that my dataset is more engaging for non-technical users.|map|read|0.5139989256858826
As a Researcher, I want to be able to reference a remote-controlled vocabulary for my dataset, so that I can be sure that column of my dataset are valid against a single shard list of terms.|reference|read|0.4787408411502838
As a developer, I want an DSpace integration, so that I can integrate data-packaged data with pipelines that use Dspace.|want|read|0.38627681136131287
As a Developer, I want Feather integration, so that I can integrate data-packaged data with pipelines that use Feather.|want|read|0.31870487332344055
