Entity 1|Entity 2|Hints from Wordnet
administrative information|administrative information|True
administrative information|agreement|False
administrative information|all right|False
administrative information|anonymization of datum|False
administrative information|compliance|False
administrative information|conservation period|False
administrative information|content|False
administrative information|cost|False
administrative information|creation process|False
administrative information|data set|False
administrative information|datum|False
administrative information|description|False
administrative information|detail|False
administrative information|dmp|False
administrative information|estimate|False
administrative information|format|False
administrative information|how|False
administrative information|how long|False
administrative information|how many|False
administrative information|how secure|False
administrative information|information|True
administrative information|intention|False
administrative information|it resource requirement|False
administrative information|kind of data|True
administrative information|kind of data I want to record / store|False
administrative information|kind of data I want to store|False
administrative information|kind of datum type|False
administrative information|legal status|False
administrative information|metadata|False
administrative information|necessary right|False
administrative information|persistent identifier|False
administrative information|pointer|False
administrative information|privacy|False
administrative information|reference|False
administrative information|regular summary report|False
administrative information|report|False
administrative information|repository mention|False
administrative information|research publication|False
administrative information|security requirement|False
administrative information|service use|False
administrative information|short description|False
administrative information|software|False
administrative information|technology|False
administrative information|time plan|False
administrative information|topic|False
administrative information|when|False
agreement|agreement|True
agreement|all right|False
agreement|conservation period|False
agreement|content|False
agreement|cost|False
agreement|creation process|False
agreement|description|False
agreement|detail|False
agreement|dmp|False
agreement|estimate|False
agreement|how|False
agreement|how many|False
agreement|how secure|False
agreement|information|False
agreement|kind of datum type|False
agreement|legal status|False
agreement|necessary right|False
agreement|persistent identifier|False
agreement|reference|False
agreement|regular summary report|False
agreement|report|False
agreement|research publication|False
agreement|security requirement|False
agreement|service use|False
agreement|short description|False
agreement|software|False
agreement|technology|False
all datum|administrative information|False
all datum|agreement|False
all datum|all datum|True
all datum|all metadata|False
all datum|all resource|False
all datum|all right|False
all datum|anonymization of datum|True
all datum|compliance|False
all datum|conservation period|False
all datum|content|False
all datum|cost|False
all datum|creation process|False
all datum|data set|False
all datum|datum|True
all datum|datum sensitivity|False
all datum|description|False
all datum|detail|False
all datum|dmp|False
all datum|estimate|False
all datum|format|False
all datum|how|False
all datum|how long|False
all datum|how many|False
all datum|how secure|False
all datum|information|False
all datum|intention|False
all datum|it resource requirement|False
all datum|kind of data|True
all datum|kind of data I want to record / store|False
all datum|kind of data I want to store|False
all datum|kind of datum type|False
all datum|legal status|False
all datum|metadata|False
all datum|necessary right|False
all datum|persistent identifier|False
all datum|pointer|False
all datum|privacy|False
all datum|reference|False
all datum|regular summary report|False
all datum|report|False
all datum|repository mention|False
all datum|research publication|False
all datum|section|False
