Entity 1|Entity 2|Hints from Wordnet
analysis|analysis|False
analysis|app|False
analysis|command line tool|False
analysis|data integration|False
analysis|data|False
analysis|data package|False
analysis|doi|False
analysis|dspace integration|False
analysis|elasticsearch integration|False
analysis|eml dataset|False
analysis|eprint integration|False
analysis|excel spreadsheet|False
analysis|exist wizard|False
analysis|exploratory data analysis|False
analysis|feather integration|False
analysis|funding|False
analysis|general country name|False
analysis|general reference data|False
analysis|hdf5 integration|False
analysis|how many user|False
analysis|integration|False
analysis|interactive preview|False
analysis|jquery plugin|False
analysis|line|False
analysis|microsoft power bi integration|False
analysis|ml dataset|False
analysis|mongo integration|False
analysis|netcdf integration|False
analysis|new data column|False
analysis|new visualization|False
analysis|online service|False
analysis|preview button|False
analysis|quality of data|False
analysis|reference data on inflation|False
analysis|remote - control vocabulary|False
analysis|reproducible step|False
analysis|spss integration|False
analysis|tool|False
analysis|type information|False
analysis|useful metadata|False
analysis|visualization|False
analysis|way|False
analysis|web socket protocol|False
app|analysis|False
app|app|False
app|command line tool|False
app|data integration|False
app|data|False
app|data package|False
app|doi|False
app|dspace integration|False
app|elasticsearch integration|False
app|eml dataset|False
app|eprint integration|False
app|excel spreadsheet|False
app|exist wizard|False
app|exploratory data analysis|False
app|feather integration|False
app|funding|False
app|general country name|False
app|general reference data|False
app|hdf5 integration|False
app|how many user|False
app|integration|False
app|interactive preview|False
app|jquery plugin|False
app|line|False
app|microsoft power bi integration|False
app|ml dataset|False
app|mongo integration|False
app|netcdf integration|False
app|new data column|False
app|new visualization|False
app|online service|False
app|preview button|False
app|quality of data|False
app|reference data on inflation|False
app|remote - control vocabulary|False
app|reproducible step|False
app|spss integration|False
app|tool|False
app|type information|False
app|useful metadata|False
app|visualization|False
app|way|False
app|web socket protocol|False
command line tool|analysis|False
command line tool|app|False
command line tool|command line tool|False
command line tool|data integration|False
command line tool|data|False
command line tool|data package|False
command line tool|doi|False
command line tool|dspace integration|False
command line tool|elasticsearch integration|False
command line tool|eml dataset|False
command line tool|eprint integration|False
command line tool|excel spreadsheet|False
command line tool|exist wizard|False
command line tool|exploratory data analysis|False
command line tool|feather integration|False
command line tool|funding|False
command line tool|general country name|False
command line tool|general reference data|False
command line tool|hdf5 integration|False
command line tool|how many user|False
command line tool|integration|False
command line tool|interactive preview|False
command line tool|jquery plugin|False
command line tool|line|False
command line tool|microsoft power bi integration|False
command line tool|ml dataset|False
command line tool|mongo integration|False
command line tool|netcdf integration|False
command line tool|new data column|False
command line tool|new visualization|False
command line tool|online service|False
command line tool|preview button|False
command line tool|quality of data|False
command line tool|reference data on inflation|False
command line tool|remote - control vocabulary|False
command line tool|reproducible step|False
command line tool|spss integration|False
command line tool|tool|False
command line tool|type information|False
command line tool|useful metadata|False
command line tool|visualization|False
command line tool|way|False
command line tool|web socket protocol|False
data integration|analysis|False
data integration|app|False
data integration|command line tool|False
data integration|data integration|False
data integration|data|False
data integration|data package|False
data integration|doi|False
data integration|dspace integration|False
data integration|elasticsearch integration|False
data integration|eml dataset|False
data integration|eprint integration|False
data integration|excel spreadsheet|False
data integration|exist wizard|False
data integration|exploratory data analysis|False
data integration|feather integration|False
data integration|funding|False
data integration|general country name|False
data integration|general reference data|False
data integration|hdf5 integration|False
data integration|how many user|False
data integration|integration|False
