Activity 1|Activity 2|Hints from Wordnet
add|add|False
add|check|False
add|create|False
add|customize|False
add|do|True
add|embed|False
add|get|True
add|know|False
add|make it easy to assess|False
add|map|False
add|operationalize|False
add|package|False
add|provide|True
add|publish|False
add|reference|False
add|save|False
add|specify|False
add|store|False
add|translate|False
add|understand|False
add|use|False
add|validate|False
add|want|False
add|would like|False
check|add|True
check|check|False
check|create|False
check|customize|False
check|do|True
check|embed|False
check|get|True
check|know|True
check|make it easy to assess|True
check|map|True
check|operationalize|False
check|package|False
check|provide|True
check|publish|False
check|reference|False
check|save|True
check|specify|True
check|store|True
check|translate|True
check|understand|False
check|use|False
check|validate|False
check|want|False
check|would like|True
create|add|True
create|check|True
create|create|False
create|customize|True
create|do|True
create|embed|False
create|get|True
create|know|False
create|make it easy to assess|False
create|map|True
create|operationalize|False
create|package|False
create|provide|False
create|publish|True
create|reference|True
create|save|False
create|specify|False
create|store|False
create|translate|False
create|understand|False
create|use|False
create|validate|False
create|want|False
create|would like|False
customize|add|False
customize|check|False
customize|create|False
customize|customize|False
customize|do|False
customize|embed|False
customize|get|False
customize|know|False
customize|make it easy to assess|False
customize|map|False
customize|operationalize|False
customize|package|False
customize|provide|False
customize|publish|False
customize|reference|False
customize|save|False
customize|specify|False
customize|store|False
customize|translate|False
customize|understand|False
customize|use|False
customize|validate|False
customize|want|False
customize|would like|False
do|add|True
do|check|False
do|create|False
do|customize|True
do|do|False
do|embed|True
do|get|True
do|know|True
do|make it easy to assess|True
do|map|True
do|operationalize|False
do|package|False
do|provide|True
do|publish|True
do|reference|True
do|save|False
do|specify|True
do|store|False
do|translate|True
do|understand|False
do|use|True
do|validate|True
do|want|False
do|would like|False
embed|add|False
embed|check|False
embed|create|False
embed|customize|False
embed|do|False
embed|embed|False
embed|get|False
embed|know|False
embed|make it easy to assess|False
embed|map|False
embed|operationalize|False
embed|package|False
embed|provide|False
embed|publish|False
embed|reference|False
embed|save|False
embed|specify|False
embed|store|False
embed|translate|False
embed|understand|False
embed|use|False
embed|validate|False
embed|want|False
embed|would like|False
get|add|True
get|check|True
get|create|False
get|customize|True
get|do|False
get|embed|False
get|get|False
get|know|True
get|make it easy to assess|False
get|map|True
get|operationalize|False
get|package|False
get|provide|True
get|publish|True
get|reference|True
get|save|True
get|specify|True
get|store|True
get|translate|True
get|understand|False
get|use|True
get|validate|True
get|want|True
get|would like|False
know|add|False
know|check|True
know|create|False
know|customize|False
know|do|False
know|embed|False
know|get|True
know|know|False
know|make it easy to assess|False
know|map|False
know|operationalize|False
know|package|False
know|provide|False
know|publish|False
know|reference|False
know|save|False
know|specify|False
know|store|False
know|translate|False
know|understand|False
know|use|False
know|validate|False
know|want|False
know|would like|False
make it easy to assess|add|False
make it easy to assess|check|False
make it easy to assess|create|False
make it easy to assess|customize|False
make it easy to assess|do|False
make it easy to assess|embed|False
make it easy to assess|get|False
