Activity 1|Activity 2|Hints from Wordnet
apply|apply|False
apply|assign|True
apply|be notify|False
apply|capture|False
apply|check|True
apply|complete|False
apply|conduct|True
apply|create|False
apply|denote|False
apply|develop|False
apply|evaluate|False
apply|generate|False
apply|issue|False
apply|manage|False
apply|modify|False
apply|pay|True
apply|perform|False
apply|post|True
apply|prepare|False
apply|process|False
apply|record|True
apply|remove|False
apply|request|False
apply|research|False
apply|resubmit|True
apply|review|False
apply|satisfy|True
apply|schedule|False
apply|search|False
apply|select|False
apply|send|False
apply|submit|True
apply|successfully conduct|True
apply|support|True
apply|track|False
apply|update|False
assign|apply|False
assign|assign|False
assign|be notify|False
assign|capture|True
assign|check|False
assign|complete|False
assign|conduct|False
assign|create|False
assign|denote|True
assign|develop|True
assign|evaluate|False
assign|generate|False
assign|issue|False
assign|manage|False
assign|modify|False
assign|pay|False
assign|perform|False
assign|post|True
assign|prepare|False
assign|process|False
assign|record|False
assign|remove|False
assign|request|False
assign|research|False
assign|resubmit|False
assign|review|False
assign|satisfy|False
assign|schedule|False
assign|search|False
assign|select|False
assign|send|False
assign|submit|False
assign|successfully conduct|False
assign|support|False
assign|track|False
assign|update|False
be notify|apply|False
be notify|assign|False
be notify|be notify|False
be notify|capture|False
be notify|check|False
be notify|complete|False
be notify|conduct|False
be notify|create|False
be notify|denote|False
be notify|develop|False
be notify|evaluate|False
be notify|generate|False
be notify|issue|False
be notify|manage|False
be notify|modify|False
be notify|pay|False
be notify|perform|False
be notify|post|False
be notify|prepare|False
be notify|process|False
be notify|record|False
be notify|remove|False
be notify|request|False
be notify|research|False
be notify|resubmit|False
be notify|review|False
be notify|satisfy|False
be notify|schedule|False
be notify|search|False
be notify|select|False
be notify|send|False
be notify|submit|True
be notify|successfully conduct|False
be notify|support|False
be notify|track|False
be notify|update|False
capture|apply|True
capture|assign|False
capture|be notify|False
capture|capture|False
capture|check|False
capture|complete|False
capture|conduct|False
capture|create|False
capture|denote|False
capture|develop|False
capture|evaluate|False
capture|generate|False
capture|issue|False
capture|manage|False
capture|modify|False
capture|pay|True
capture|perform|False
capture|post|False
capture|prepare|False
capture|process|True
capture|record|False
capture|remove|False
capture|request|False
capture|research|False
capture|resubmit|False
capture|review|False
capture|satisfy|False
capture|schedule|False
capture|search|False
capture|select|False
capture|send|False
capture|submit|False
capture|successfully conduct|False
capture|support|False
capture|track|False
capture|update|False
check|apply|False
check|assign|True
check|be notify|False
check|capture|False
check|check|False
check|complete|False
check|conduct|True
check|create|False
check|denote|False
check|develop|False
check|evaluate|False
check|generate|False
check|issue|False
check|manage|True
check|modify|False
check|pay|True
check|perform|False
check|post|True
check|prepare|True
check|process|True
check|record|True
check|remove|False
check|request|False
check|research|True
check|resubmit|False
check|review|True
check|satisfy|True
check|schedule|False
check|search|True
check|select|True
check|send|False
check|submit|False
check|successfully conduct|True
check|support|False
check|track|True
check|update|False
complete|apply|False
complete|assign|False
complete|be notify|False
complete|capture|False
complete|check|True
complete|complete|False
complete|conduct|False
complete|create|False
complete|denote|False
complete|develop|False
complete|evaluate|False
complete|generate|False
complete|issue|False
complete|manage|False
complete|modify|False
complete|pay|False
complete|perform|True
complete|post|False
complete|prepare|False
complete|process|False
complete|record|False
complete|remove|False
complete|request|False
complete|research|False
complete|resubmit|False
complete|review|False
complete|satisfy|False
complete|schedule|False
complete|search|False
complete|select|False
complete|send|False
complete|submit|False
complete|successfully conduct|False
complete|support|False
complete|track|False
complete|update|False
conduct|apply|True
conduct|assign|True
conduct|be notify|False
conduct|capture|True
conduct|check|False
conduct|complete|False
conduct|conduct|False
conduct|create|False
conduct|denote|False
conduct|develop|False
conduct|evaluate|False
conduct|generate|False
conduct|issue|False
conduct|manage|False
conduct|modify|False
conduct|pay|True
conduct|perform|False
conduct|post|False
conduct|prepare|True
conduct|process|True
conduct|record|False
conduct|remove|False
conduct|request|True
conduct|research|False
conduct|resubmit|False
conduct|review|False
conduct|satisfy|False
conduct|schedule|False
conduct|search|False
conduct|select|False
conduct|send|True
conduct|submit|True
conduct|successfully conduct|False
conduct|support|False
conduct|track|False
conduct|update|False
create|apply|True
create|assign|False
create|be notify|False
create|capture|True
create|check|True
create|complete|True
create|conduct|True
create|create|False
create|denote|False
create|develop|True
create|evaluate|False
create|generate|True
create|issue|False
create|manage|False
create|modify|False
create|pay|True
create|perform|True
create|post|False
