Activity 1|Activity 2|Hints from Wordnet
apply|apply|True
apply|record|False
assign|apply|False
assign|assign|True
assign|check|False
assign|complete|False
assign|conduct|False
assign|evaluate|False
assign|generate|False
assign|manage|False
assign|perform|False
assign|record|False
assign|remove|False
assign|resubmit|False
assign|select|False
assign|support|False
be notify|apply|False
be notify|assign|False
be notify|be notify|True
be notify|check|False
be notify|complete|False
be notify|conduct|False
be notify|create|False
be notify|develop|False
be notify|evaluate|False
be notify|generate|False
be notify|issue|False
be notify|manage|False
be notify|pay|False
be notify|perform|False
be notify|post|False
be notify|prepare|False
be notify|process|False
be notify|record|False
be notify|remove|False
be notify|resubmit|False
be notify|satisfy|False
be notify|schedule|False
be notify|select|False
be notify|send|False
be notify|submit|False
be notify|successfully conduct|False
be notify|support|False
capture|apply|False
capture|assign|False
capture|be notify|False
capture|capture|True
capture|check|True
capture|complete|False
capture|conduct|False
capture|create|False
capture|denote|False
capture|develop|True
capture|evaluate|False
capture|generate|True
capture|issue|False
capture|manage|False
capture|pay|True
capture|perform|False
capture|post|False
capture|prepare|True
capture|process|False
capture|record|False
capture|remove|False
capture|request|False
capture|resubmit|False
capture|review|False
capture|satisfy|False
capture|schedule|False
capture|select|False
capture|send|False
capture|submit|False
capture|successfully conduct|False
capture|support|False
capture|track|False
check|apply|True
check|check|True
check|complete|False
check|conduct|False
check|evaluate|False
check|generate|True
check|manage|False
check|record|False
check|remove|False
check|resubmit|False
check|select|False
check|support|True
complete|apply|False
complete|complete|True
complete|conduct|False
complete|manage|True
complete|record|False
complete|support|False
conduct|apply|False
conduct|conduct|True
conduct|manage|True
conduct|record|False
create|apply|False
create|assign|False
create|check|True
create|complete|False
create|conduct|False
create|create|True
create|develop|True
create|evaluate|False
create|generate|False
create|issue|False
create|manage|False
create|pay|False
create|perform|False
create|prepare|True
create|process|False
create|record|False
create|remove|False
create|resubmit|False
create|satisfy|False
create|select|False
create|send|False
create|submit|False
create|successfully conduct|False
create|support|False
denote|apply|False
denote|assign|False
denote|be notify|False
denote|check|False
denote|complete|False
denote|conduct|False
denote|create|False
denote|denote|True
denote|develop|False
denote|evaluate|False
denote|generate|False
denote|issue|False
denote|manage|False
denote|pay|False
denote|perform|False
denote|post|True
denote|prepare|False
denote|process|False
denote|record|False
denote|remove|False
denote|request|False
denote|resubmit|False
denote|satisfy|False
denote|schedule|False
denote|select|False
denote|send|False
denote|submit|False
denote|successfully conduct|False
denote|support|False
denote|track|False
develop|apply|False
develop|assign|False
develop|check|True
develop|complete|False
develop|conduct|False
develop|develop|True
develop|evaluate|False
develop|generate|True
develop|issue|False
develop|manage|False
develop|perform|False
develop|record|False
develop|remove|False
develop|resubmit|False
develop|satisfy|False
develop|select|False
develop|submit|False
develop|successfully conduct|False
develop|support|False
evaluate|apply|False
evaluate|complete|False
evaluate|conduct|False
evaluate|evaluate|True
evaluate|generate|False
evaluate|manage|False
evaluate|record|False
evaluate|remove|False
evaluate|resubmit|False
evaluate|select|False
evaluate|support|False
generate|apply|True
generate|complete|False
generate|conduct|False
generate|generate|True
generate|manage|False
generate|record|False
generate|remove|False
generate|resubmit|False
generate|select|False
generate|support|False
issue|apply|False
issue|assign|False
issue|check|True
issue|complete|True
issue|conduct|False
issue|evaluate|False
issue|generate|False
issue|issue|True
issue|manage|True
issue|perform|False
issue|record|False
issue|remove|False
issue|resubmit|False
issue|satisfy|False
issue|select|False
issue|successfully conduct|False
issue|support|False
manage|apply|False
manage|manage|True
manage|record|False
modify|apply|False
modify|assign|False
modify|be notify|False
modify|capture|False
modify|check|False
modify|complete|False
modify|conduct|False
modify|create|False
modify|denote|False
modify|develop|False
modify|evaluate|False
modify|generate|False
modify|issue|False
modify|manage|False
modify|modify|True
modify|pay|False
modify|perform|False
modify|post|False
modify|prepare|False
modify|process|False
modify|record|False
modify|remove|False
modify|request|False
modify|research|False
modify|resubmit|False
modify|review|False
modify|satisfy|False
modify|schedule|False
modify|search|False
modify|select|False
modify|send|False
modify|submit|False
modify|successfully conduct|False
modify|support|False
modify|track|False
modify|update|False
pay|apply|True
pay|assign|False
pay|check|True
pay|complete|False
pay|conduct|True
pay|develop|True
pay|evaluate|False
pay|generate|True
pay|issue|False
pay|manage|False
pay|pay|True
pay|perform|False
pay|prepare|True
pay|process|False
pay|record|False
pay|remove|False
pay|resubmit|False
pay|satisfy|False
pay|select|False
pay|send|True
pay|submit|False
pay|successfully conduct|True
pay|support|True
perform|apply|False
perform|check|False
perform|complete|False
perform|conduct|False
perform|evaluate|False
perform|generate|False
perform|manage|True
perform|perform|True
perform|record|False
perform|remove|False
perform|resubmit|False
perform|select|False
perform|support|False
post|apply|False
post|assign|False
post|check|False
