Entity 1|Entity 2|Hints from Wordnet
administrative information|administrative information|False
administrative information|agreement|False
administrative information|all datum|False
administrative information|all metadata|False
administrative information|all resource|False
administrative information|all right|False
administrative information|anonymization of datum|False
administrative information|compliance|False
administrative information|conservation period|False
administrative information|content|False
administrative information|cost|False
administrative information|creation process|False
administrative information|data set|False
administrative information|datum|False
administrative information|datum sensitivity|False
administrative information|description|False
administrative information|detail|False
administrative information|dmp|False
administrative information|estimate|False
administrative information|format|False
administrative information|how|False
administrative information|how long|False
administrative information|how many|False
administrative information|how secure|False
administrative information|information|False
administrative information|intention|False
administrative information|it resource requirement|False
administrative information|kind of data|False
administrative information|kind of data I want to record / store|False
administrative information|kind of data I want to store|False
administrative information|kind of datum type|False
administrative information|legal status|False
administrative information|metadata|False
administrative information|necessary right|False
administrative information|persistent identifier|False
administrative information|plan provenance|False
administrative information|pointer|False
administrative information|privacy|False
administrative information|reference|False
administrative information|regular summary report|False
administrative information|report|False
administrative information|repository mention|False
administrative information|research publication|False
administrative information|section|False
administrative information|security requirement|False
administrative information|service use|False
administrative information|short description|False
administrative information|software|False
administrative information|technology|False
administrative information|time plan|False
administrative information|topic|False
administrative information|when|False
administrative information|my data|False
administrative information|who|False
administrative information|who be responsible|False
agreement|administrative information|False
agreement|agreement|False
agreement|all datum|False
agreement|all metadata|False
agreement|all resource|False
agreement|all right|False
agreement|anonymization of datum|False
agreement|compliance|False
agreement|conservation period|False
agreement|content|False
agreement|cost|False
agreement|creation process|False
agreement|data set|False
agreement|datum|False
agreement|datum sensitivity|False
agreement|description|False
agreement|detail|False
agreement|dmp|False
agreement|estimate|False
agreement|format|False
agreement|how|False
agreement|how long|False
agreement|how many|False
agreement|how secure|False
agreement|information|False
agreement|intention|False
agreement|it resource requirement|False
agreement|kind of data|False
agreement|kind of data I want to record / store|False
agreement|kind of data I want to store|False
agreement|kind of datum type|False
agreement|legal status|True
agreement|metadata|False
agreement|necessary right|False
agreement|persistent identifier|False
agreement|plan provenance|False
agreement|pointer|False
agreement|privacy|False
agreement|reference|False
agreement|regular summary report|False
agreement|report|False
agreement|repository mention|False
agreement|research publication|False
agreement|section|False
agreement|security requirement|False
agreement|service use|False
agreement|short description|False
agreement|software|False
agreement|technology|False
agreement|time plan|False
agreement|topic|False
agreement|when|False
agreement|my data|False
agreement|who|False
agreement|who be responsible|False
all datum|administrative information|False
all datum|agreement|False
all datum|all datum|False
all datum|all metadata|False
all datum|all resource|False
all datum|all right|False
all datum|anonymization of datum|False
all datum|compliance|False
all datum|conservation period|False
all datum|content|False
all datum|cost|False
all datum|creation process|False
all datum|data set|False
all datum|datum|False
all datum|datum sensitivity|False
all datum|description|False
all datum|detail|False
all datum|dmp|False
all datum|estimate|False
all datum|format|False
all datum|how|False
all datum|how long|False
all datum|how many|False
all datum|how secure|False
all datum|information|False
all datum|intention|False
all datum|it resource requirement|False
all datum|kind of data|False
all datum|kind of data I want to record / store|False
all datum|kind of data I want to store|False
all datum|kind of datum type|False
all datum|legal status|False
all datum|metadata|False
all datum|necessary right|False
all datum|persistent identifier|False
all datum|plan provenance|False
all datum|pointer|False
all datum|privacy|False
all datum|reference|False
all datum|regular summary report|False
all datum|report|False
all datum|repository mention|False
all datum|research publication|False
all datum|section|False
all datum|security requirement|False
all datum|service use|False
all datum|short description|False
all datum|software|False
all datum|technology|False
all datum|time plan|False
all datum|topic|False
all datum|when|False
all datum|my data|False
all datum|who|False
all datum|who be responsible|False
all metadata|administrative information|False
all metadata|agreement|False
all metadata|all datum|False
all metadata|all metadata|False
all metadata|all resource|False
all metadata|all right|False
all metadata|anonymization of datum|False
all metadata|compliance|False
all metadata|conservation period|False
all metadata|content|False
all metadata|cost|False
all metadata|creation process|False
all metadata|data set|False
all metadata|datum|False
all metadata|datum sensitivity|False
all metadata|description|False
all metadata|detail|False
all metadata|dmp|False
all metadata|estimate|False
all metadata|format|False
all metadata|how|False
all metadata|how long|False
all metadata|how many|False
all metadata|how secure|False
all metadata|information|False
all metadata|intention|False
all metadata|it resource requirement|False
all metadata|kind of data|False
all metadata|kind of data I want to record / store|False
all metadata|kind of data I want to store|False
all metadata|kind of datum type|False
all metadata|legal status|False
all metadata|metadata|False
all metadata|necessary right|False
all metadata|persistent identifier|False
all metadata|plan provenance|False
all metadata|pointer|False
all metadata|privacy|False
all metadata|reference|False
all metadata|regular summary report|False
all metadata|report|False
all metadata|repository mention|False
all metadata|research publication|False
all metadata|section|False
all metadata|security requirement|False
all metadata|service use|False
all metadata|short description|False
all metadata|software|False
all metadata|technology|False
all metadata|time plan|False
all metadata|topic|False
all metadata|when|False
all metadata|my data|False
all metadata|who|False
all metadata|who be responsible|False
all resource|administrative information|False
all resource|agreement|False
all resource|all datum|False
all resource|all metadata|False
all resource|all resource|False
all resource|all right|False
all resource|anonymization of datum|False
all resource|compliance|False
all resource|conservation period|False
all resource|content|False
all resource|cost|False
all resource|creation process|False
all resource|data set|False
all resource|datum|False
all resource|datum sensitivity|False
all resource|description|False
all resource|detail|False
all resource|dmp|False
all resource|estimate|False
all resource|format|False
all resource|how|False
all resource|how long|False
all resource|how many|False
all resource|how secure|False
all resource|information|False
all resource|intention|False
all resource|it resource requirement|False
all resource|kind of data|False
all resource|kind of data I want to record / store|False
all resource|kind of data I want to store|False
all resource|kind of datum type|False
all resource|legal status|False
all resource|metadata|False
all resource|necessary right|False
all resource|persistent identifier|False
all resource|plan provenance|False
all resource|pointer|False
all resource|privacy|False
all resource|reference|False
all resource|regular summary report|False
all resource|report|False
all resource|repository mention|False
all resource|research publication|False
all resource|section|False
all resource|security requirement|False
all resource|service use|False
all resource|short description|False
all resource|software|False
all resource|technology|False
all resource|time plan|False
all resource|topic|False
all resource|when|False
all resource|my data|False
all resource|who|False
all resource|who be responsible|False
all right|administrative information|False
all right|agreement|False
all right|all datum|False
all right|all metadata|False
all right|all resource|False
all right|all right|False
all right|anonymization of datum|False
all right|compliance|False
all right|conservation period|False
all right|content|False
all right|cost|False
all right|creation process|False
all right|data set|False
all right|datum|False
all right|datum sensitivity|False
all right|description|False
all right|detail|False
all right|dmp|False
all right|estimate|False
all right|format|False
all right|how|False
all right|how long|False
all right|how many|False
all right|how secure|False
all right|information|False
all right|intention|False
all right|it resource requirement|False
all right|kind of data|False
all right|kind of data I want to record / store|False
