Persona 1 | Persona 2 | Result | Score 
datum librarian|postgraduate convenor|False|0.4364222586154938
metadata manager|administrator|False|0.2581457197666168
datum manager|research support officer|False|0.34344419836997986
archive|stakeholder|False|0.1969403177499771
postgraduate convenor|faculty datum steward|False|0.3786923587322235
research centre director|archivemanager|False|0.2165146768093109
research evaluation manager|director of research integrity|False|0.3895789086818695
postgraduate convenor|institutional datum manager|False|0.2723182141780853
repository manager|director of research integrity|False|0.29282915592193604
funder|research evaluation manager|False|0.4299631118774414
institutional datum manager|it manager|False|0.48513099551200867
rector|legalofficer|False|0.3394526243209839
it staff member|it staff member|False|0.0
datum manager|rector|False|0.3370649814605713
archive|legalofficer|False|0.1990407407283783
researcher|it officer|False|0.3666123151779175
repository owner|archive|False|0.289049357175827
administrator|postgraduate convenor|False|0.4130096435546875
administrator|research centre director|False|0.25192221999168396
funder|funder|False|0.0
research centre director|it staff member|False|0.2781723439693451
research evaluation manager|researcher|False|0.47037702798843384
director of research integrity|metadata manager|False|0.25407058000564575
research evaluation manager|archive|False|0.22536730766296387
rector|faculty datum steward|False|0.43445858359336853
repository manager|researcher|False|0.22787818312644958
repository manager|archive|False|0.3401142954826355
datum librarian|archivemanager|False|0.3434126079082489
metadata manager|research support officer|False|0.30214303731918335
rector|institutional datum manager|False|0.3371764123439789
ethic manager|metadata manager|False|0.2462466061115265
archive|institutional datum manager|False|0.2610238492488861
funder|it officer|False|0.29047784209251404
repository owner|manager|False|0.26108643412590027
metadata manager|rector|False|0.3207695186138153
institutional datum steward|datum librarian|False|0.4684537649154663
datum manager|postgraduate convenor|False|0.43617701530456543
legalofficer|it officer|True|0.5023937821388245
manager|postgraduate convenor|False|0.3776237368583679
researcher|repository operator|False|0.27254006266593933
repository owner|institutional datum steward|False|0.3772766888141632
it officer|archivemanager|False|0.2410467118024826
administrator|archivemanager|False|0.2907535433769226
manager|research centre director|False|0.1800249218940735
pi|it manager|False|0.35882723331451416
faculty datum steward|metadata manager|False|0.3911418914794922
archivemanager|faculty datum steward|False|0.3074073791503906
repository operator|repository manager|True|0.5940316915512085
institutional datum steward|repository owner|False|0.28728729486465454
repository manager|manager|False|0.37231287360191345
archivemanager|institutional datum manager|False|0.3000681400299072
research evaluation manager|institutional datum steward|False|0.34287863969802856
research centre director|metadata manager|False|0.2144831418991089
repository manager|institutional datum steward|False|0.34436145424842834
institutional datum manager|researcher|False|0.21634307503700256
institutional datum steward|ethic manager|False|0.32867032289505005
administrator|it staff member|False|0.2577131688594818
institutional datum manager|repository owner|False|0.21064339578151703
metadata manager|postgraduate convenor|False|0.3339170217514038
repository operator|research evaluation manager|False|0.29079779982566833
datum manager|archivemanager|False|0.33195677399635315
it manager|director of research integrity|False|0.41810333728790283
legalofficer|repository operator|False|0.20729783177375793
legalofficer|manager|False|0.14503028988838196
institutional datum manager|ethic manager|False|0.34559449553489685
funder|datum librarian|False|0.41816216707229614
repository operator|funder|False|0.44802066683769226
institutional datum steward|research head|False|0.2660309076309204
datum librarian|metadata manager|False|0.38219285011291504
research evaluation manager|administrator|False|0.2066989541053772
repository manager|administrator|False|0.23144014179706573
manager|it staff member|False|0.26883986592292786
it manager|researcher|False|0.4236498773097992
it staff member|director of research integrity|False|0.43532976508140564
director of research integrity|archive|False|0.24360820651054382
research support officer|repository manager|False|0.22735066711902618
stakeholder|repository manager|False|0.34382373094558716
ethic manager|archive|False|0.1496151089668274
repository owner|datum manager|False|0.3075563907623291
repository operator|it manager|False|0.35193634033203125
institutional datum steward|pi|False|0.2809748649597168
institutional datum manager|research head|False|0.2247467190027237
it officer|metadata manager|False|0.2749706506729126
pi|researcher|False|0.36467134952545166
it manager|repository owner|False|0.42483773827552795
metadata manager|archivemanager|False|0.30015474557876587
research head|repository manager|False|0.21711795032024384
research centre director|director of research integrity|True|0.5707253217697144
archivemanager|research centre director|False|0.20743978023529053
postgraduate convenor|repository manager|False|0.20771728456020355
it manager|ethic manager|False|0.4559360146522522
pi|repository owner|False|0.3587365746498108
faculty datum steward|it officer|False|0.23866824805736542
repository owner|rector|False|0.28810253739356995
stakeholder|research evaluation manager|False|0.4368782341480255
it staff member|researcher|False|0.4456116855144501
it staff member|archive|False|0.27801111340522766
research support officer|research evaluation manager|False|0.38452887535095215
repository manager|datum manager|False|0.33140313625335693
repository owner|stakeholder|False|0.25684183835983276
institutional datum manager|pi|False|0.2680109739303589
research evaluation manager|research support officer|False|0.4526883065700531
pi|ethic manager|False|0.31108206510543823
faculty datum steward|archive|False|0.2183150053024292
repository manager|research support officer|False|0.32380667328834534
director of research integrity|manager|False|0.23588812351226807
institutional datum manager|administrator|False|0.31124362349510193
researcher|stakeholder|False|0.29352790117263794
research head|research evaluation manager|False|0.45425865054130554
ethic manager|repository operator|False|0.21022260189056396
postgraduate convenor|research evaluation manager|False|0.3100450038909912
director of research integrity|institutional datum steward|False|0.443586140871048
ethic manager|manager|False|0.4010378420352936
research centre director|archive|False|0.22781434655189514
stakeholder|funder|False|0.34326231479644775
research support officer|funder|False|0.35025492310523987
datum manager|metadata manager|False|0.37994712591171265
research evaluation manager|rector|False|0.2685820162296295
institutional datum steward|faculty datum steward|False|0.3094401955604553
repository manager|rector|False|0.2555134892463684
researcher|legalofficer|False|0.2777346670627594
rector|repository manager|False|0.2817714512348175
archive|repository manager|False|0.4081763029098511
datum librarian|director of research integrity|False|0.4206082820892334
it manager|research head|False|0.4202158749103546
legalofficer|datum manager|False|0.1800461709499359
research head|funder|False|0.2885868549346924
institutional datum steward|research support officer|False|0.3761111795902252
postgraduate convenor|funder|False|0.2961066663265228
stakeholder|it officer|False|0.30023470520973206
it staff member|manager|False|0.38923880457878113
pi|research head|False|0.3333168029785156
research support officer|it manager|False|0.14568515121936798
faculty datum steward|repository operator|False|0.30764442682266235
it staff member|institutional datum steward|False|0.45597928762435913
faculty datum steward|manager|False|0.310096800327301
repository operator|datum librarian|False|0.3693222999572754
it manager|pi|False|0.44554904103279114
research head|it officer|False|0.25244778394699097
administrator|director of research integrity|False|0.4000013768672943
rector|research evaluation manager|False|0.378598153591156
archive|research evaluation manager|False|0.3520151376724243
legalofficer|stakeholder|False|0.19278331100940704
postgraduate convenor|it manager|False|0.22077982127666473
institutional datum manager|research support officer|False|0.2799380123615265
researcher|institutional datum manager|False|0.36815503239631653
research centre director|manager|False|0.23373453319072723
it manager|administrator|False|0.41055789589881897
datum librarian|archive|False|0.3351820707321167
pi|pi|False|0.0
research centre director|institutional datum steward|False|0.40926671028137207
repository operator|repository owner|True|0.5895185470581055
institutional datum manager|rector|False|0.2434912770986557
pi|administrator|False|0.33917665481567383
archive|funder|False|0.20969583094120026
repository operator|ethic manager|False|0.30103573203086853
it officer|archive|False|0.22624249756336212
administrator|researcher|False|0.2171519249677658
administrator|archive|False|0.2105400264263153
stakeholder|repository operator|False|0.3348411023616791
funder|faculty datum steward|False|0.4282248616218567
it staff member|administrator|False|0.3721550405025482
funder|institutional datum manager|False|0.36660236120224
manager|director of research integrity|False|0.28237804770469666
rector|it manager|False|0.28506219387054443
institutional datum steward|postgraduate convenor|False|0.3865177631378174
archive|it manager|False|0.24927745759487152
datum librarian|repository operator|False|0.2863359749317169
research head|repository operator|False|0.21509601175785065
datum librarian|manager|False|0.28522583842277527
director of research integrity|datum manager|False|0.2971400320529938
institutional datum steward|research centre director|False|0.27764439582824707
legalofficer|institutional datum manager|False|0.21787364780902863
it manager|research support officer|False|0.38336747884750366
datum librarian|institutional datum steward|False|0.4541953206062317
ethic manager|datum manager|False|0.36768171191215515
research centre director|administrator|False|0.23035359382629395
research support officer|datum librarian|False|0.37843334674835205
stakeholder|datum librarian|False|0.38359883427619934
repository operator|research head|False|0.33725500106811523
pi|research support officer|False|0.4024125635623932
it officer|repository operator|False|0.33296582102775574
institutional datum manager|postgraduate convenor|False|0.35697120428085327
