Persona 1 | Persona 2 | Result | Score 
planning staff member|inspector|False|0.37615546584129333
zoning staff member|inspection staff member|False|0.21573485434055328
zoning staff member|plan review staff supervisor|False|0.27796387672424316
plan review staff supervisor|inspector|False|0.3193608522415161
inspector|inspection staff member|False|0.5325665473937988
inspector|plan review staff supervisor|False|0.273053914308548
applicant|staff member|False|0.20146039128303528
development staff member|staff member|False|0.4228955805301666
technical staff member|inspector|False|0.44455742835998535
inspection supervisor|public user|False|0.25598210096359253
public user|inspector|False|0.5167244076728821
staff member|zoning staff member|False|0.3868968188762665
staff member|technical staff member|False|0.6370710134506226
customer|inspection staff supervisor|False|0.39648982882499695
inspection supervisor|inspector|False|0.5774906277656555
inspection staff member|zoning staff member|False|0.20046204328536987
staff member|inspection supervisor|False|0.47642192244529724
inspection staff member|technical staff member|False|0.42586010694503784
county staff member|inspection staff supervisor|False|0.42524296045303345
county staff member|customer|False|0.2334669828414917
technical staff member|inspection staff member|False|0.4552321135997772
staff member|public user|False|0.20463424921035767
inspection staff supervisor|enforcement staff member|False|0.44550666213035583
development staff member|applicant|False|0.2086952030658722
plan review staff member|prospectiveapplicant|False|0.27639976143836975
enforcement staff member|prospectiveapplicant|False|0.23143401741981506
inspection staff member|inspection supervisor|False|0.5723942518234253
plan review staff member|inspection staff supervisor|False|0.33006876707077026
applicant|zoning staff member|False|0.19112332165241241
inspection staff supervisor|development staff member|False|0.27845099568367004
zoning staff member|prospectiveapplicant|False|0.23281195759773254
enforcement staff member|inspection staff supervisor|False|0.5384185910224915
zoning staff member|inspection staff supervisor|False|0.29166486859321594
inspection staff member|public user|False|0.20782744884490967
inspector|prospectiveapplicant|False|0.415883332490921
inspector|inspection staff supervisor|False|0.5349876880645752
applicant|inspection supervisor|False|0.4033169448375702
inspection staff member|inspector|False|0.5860283374786377
applicant|public user|False|0.3295290172100067
inspection staff supervisor|technical staff member|False|0.4172133207321167
prospectiveapplicant|applicant|True|0.8051785230636597
planning staff member|prospectiveapplicant|False|0.29380935430526733
plan review staff supervisor|prospectiveapplicant|False|0.3055301904678345
enforcement staff member|plan review staff member|False|0.18239781260490417
zoning staff member|plan review staff member|False|0.21589122712612152
planning staff member|applicant|False|0.2466314435005188
plan review staff supervisor|applicant|False|0.2166045606136322
inspector|plan review staff member|False|0.3132961094379425
technical staff member|prospectiveapplicant|False|0.2830810844898224
applicant|inspector|False|0.32960328459739685
development staff member|inspector|False|0.3360079228878021
inspection staff supervisor|customer|False|0.3105267882347107
public user|applicant|False|0.42445430159568787
zoning staff member|county staff member|False|0.26787447929382324
staff member|staff member|False|0.0
inspector|county staff member|False|0.2606546878814697
planning staff member|plan review staff member|False|0.5500450134277344
plan review staff supervisor|plan review staff member|False|0.4689822196960449
customer|enforcement staff member|False|0.20439428091049194
inspection supervisor|applicant|False|0.3183048665523529
technical staff member|plan review staff member|False|0.3155360519886017
prospectiveapplicant|county staff member|False|0.16630324721336365
customer|development staff member|False|0.2725485861301422
county staff member|enforcement staff member|False|0.2929925322532654
public user|plan review staff member|False|0.2359611690044403
county staff member|development staff member|False|0.3740171194076538
planning staff member|county staff member|False|0.3155069351196289
plan review staff supervisor|county staff member|False|0.3300272226333618
plan review staff member|enforcement staff member|False|0.2279762327671051
technical staff member|county staff member|False|0.2648560404777527
public user|county staff member|False|0.18749631941318512
customer|technical staff member|False|0.32154175639152527
plan review staff member|development staff member|False|0.34824833273887634
inspection staff supervisor|planning staff member|False|0.2720853388309479
enforcement staff member|development staff member|False|0.15237116813659668
prospectiveapplicant|inspection staff member|False|0.24153923988342285
prospectiveapplicant|plan review staff supervisor|False|0.2575892508029938
zoning staff member|development staff member|False|0.20269592106342316
county staff member|technical staff member|False|0.31213417649269104
inspector|development staff member|False|0.24352483451366425
inspection staff member|applicant|False|0.2886863648891449
inspection supervisor|county staff member|False|0.3001057803630829
planning staff member|inspection staff member|False|0.2149464637041092
customer|customer|False|0.0
planning staff member|plan review staff supervisor|False|0.4794692099094391
plan review staff supervisor|inspection staff member|False|0.30001288652420044
inspection staff supervisor|staff member|False|0.466267853975296
technical staff member|plan review staff supervisor|False|0.4015357494354248
development staff member|prospectiveapplicant|False|0.2738247513771057
plan review staff member|technical staff member|False|0.39166316390037537
county staff member|inspection supervisor|False|0.4115085005760193
public user|inspection staff member|False|0.29927971959114075
public user|plan review staff supervisor|False|0.37151989340782166
applicant|applicant|False|0.0
planning staff member|development staff member|False|0.35355839133262634
plan review staff supervisor|development staff member|False|0.3697810471057892
plan review staff member|customer|False|0.29599297046661377
enforcement staff member|customer|False|0.22141624987125397
technical staff member|development staff member|False|0.5019308924674988
staff member|inspector|False|0.4012153744697571
inspection supervisor|inspection staff member|False|0.6260427236557007
inspection supervisor|plan review staff supervisor|False|0.3879534602165222
zoning staff member|customer|False|0.2067052721977234
technical staff member|enforcement staff member|False|0.2645796239376068
inspector|customer|False|0.44768303632736206
applicant|plan review staff member|False|0.2509545087814331
development staff member|plan review staff member|False|0.2247992604970932
inspection staff member|county staff member|False|0.274779349565506
prospectiveapplicant|prospectiveapplicant|False|0.0
prospectiveapplicant|inspection staff supervisor|False|0.30492234230041504
inspection staff supervisor|zoning staff member|False|0.2540178894996643
planning staff member|inspection staff supervisor|False|0.3125336468219757
plan review staff supervisor|inspection staff supervisor|False|0.3376133143901825
planning staff member|customer|False|0.37641990184783936
customer|planning staff member|False|0.28918564319610596
applicant|county staff member|False|0.2556256055831909
plan review staff supervisor|customer|False|0.280962735414505
development staff member|county staff member|False|0.25044679641723633
inspection staff supervisor|inspection supervisor|True|0.7995374798774719
technical staff member|inspection staff supervisor|False|0.49833497405052185
technical staff member|customer|False|0.2934517562389374
county staff member|planning staff member|False|0.43276527523994446
public user|prospectiveapplicant|False|0.6021623611450195
inspection staff supervisor|public user|False|0.21333205699920654
public user|inspection staff supervisor|False|0.47062328457832336
inspection staff member|plan review staff supervisor|False|0.2779023349285126
customer|staff member|False|0.2230539470911026
prospectiveapplicant|plan review staff member|False|0.21818970143795013
inspection supervisor|zoning staff member|False|0.28083711862564087
inspection supervisor|prospectiveapplicant|False|0.42508453130722046
plan review staff member|planning staff member|False|0.6493218541145325
enforcement staff member|planning staff member|False|0.1555205136537552
inspection staff supervisor|inspector|False|0.5313227772712708
