Action 1 | Action 2 | Result | Score 
proces|complete|False|0.8333339095115662
generate|perform|False|0.8686879873275757
send|request|False|0.8841956853866577
denote|send|False|0.686369776725769
record|satisfy|False|0.7399945259094238
modify|record|False|0.7892099022865295
issue|complete|False|0.701989471912384
submit|update|False|0.88448566198349
support|conduct|False|0.7871253490447998
evaluate|track|False|0.8101480007171631
proces|update|False|0.7931308150291443
evaluate|successfully conduct|False|0.8795388340950012
evaluate|be notify|False|0.7923453450202942
denote|track|False|0.6203703284263611
successfully conduct|issue|False|0.6592391133308411
denote|successfully conduct|False|0.7453746795654297
apply|assign|False|0.8429948687553406
research|evaluate|False|0.6546825170516968
track|denote|False|0.7109525799751282
denote|be notify|False|0.7536203861236572
send|search|False|0.7324252724647522
issue|update|False|0.7390182018280029
pay|remove|False|0.6115646362304688
manage|satisfy|False|0.8620910048484802
schedule|proces|False|0.6965510249137878
evaluate|capture|False|0.7693741321563721
schedule|review|False|0.7142337560653687
denote|capture|False|0.6045554280281067
request|issue|False|0.6969749331474304
track|request|False|0.7917491793632507
submit|record|False|0.8193554282188416
generate|support|False|0.7077223658561707
check|track|False|0.8517324328422546
search|issue|False|0.6927280426025391
check|successfully conduct|False|0.8957236409187317
perform|complete|False|0.8884183764457703
check|be notify|False|0.8595223426818848
assign|complete|False|0.8041510581970215
proces|record|False|0.6799281239509583
send|issue|False|0.6583266258239746
conduct|evaluate|False|0.7272210121154785
generate|satisfy|False|0.8444316387176514
check|capture|False|0.81331866979599
pay|proces|False|0.5737441778182983
research|denote|False|0.4911891520023346
issue|record|False|0.6007594466209412
complete|be notify|False|0.5962097644805908
apply|perform|True|0.9024026393890381
select|complete|False|0.8364279866218567
track|search|False|0.821543276309967
perform|update|False|0.8522166609764099
successfully conduct|review|False|0.7832100987434387
pay|generate|False|0.756952702999115
create|track|False|0.7600345015525818
create|successfully conduct|False|0.8329187631607056
create|be notify|False|0.7131855487823486
capture|request|False|0.7786049842834473
select|update|False|0.8778980374336243
submit|generate|False|0.815194845199585
create|capture|False|0.7826829552650452
remove|satisfy|False|0.48307016491889954
create|submit|False|0.7555167078971863
request|review|False|0.8548446297645569
modify|track|False|0.7499191164970398
support|complete|False|0.8151710033416748
modify|successfully conduct|False|0.827345609664917
denote|post|False|0.5845220685005188
denote|evaluate|False|0.6123858094215393
modify|be notify|False|0.7836042642593384
be notify|create|False|0.746570348739624
pay|schedule|False|0.5331289768218994
search|review|True|0.9144645929336548
track|issue|False|0.5362117290496826
capture|search|False|0.7552704215049744
pay|send|False|0.8170443773269653
resubmit|issue|False|0.7240752577781677
modify|capture|False|0.7537016868591309
perform|record|False|0.7930040955543518
send|review|False|0.8362013101577759
apply|support|False|0.7447003126144409
perform|develop|False|0.8178704380989075
request|develop|False|0.8250096440315247
support|update|False|0.7967271208763123
assign|develop|False|0.7960719466209412
search|develop|False|0.8470281958580017
submit|send|True|0.9082313776016235
develop|resubmit|False|0.8322278261184692
apply|satisfy|False|0.8485642075538635
manage|issue|False|0.6031219363212585
successfully conduct|assign|False|0.7846107482910156
select|record|False|0.7896956205368042
check|evaluate|False|0.8539132475852966
request|create|False|0.8129907250404358
pay|modify|False|0.6477266550064087
successfully conduct|manage|False|0.8145160675048828
complete|conduct|False|0.5061460733413696
pay|capture|False|0.6612465977668762
search|create|False|0.8396708965301514
submit|track|False|0.7845293283462524
submit|be notify|False|0.8667149543762207
issue|send|False|0.7021834850311279
send|create|False|0.7971102595329285
proces|track|False|0.7551777958869934
proces|successfully conduct|False|0.8955532908439636
proces|be notify|False|0.7146044373512268
submit|capture|False|0.8127068877220154
request|assign|False|0.8643749356269836
develop|successfully conduct|False|0.8493844866752625
develop|be notify|False|0.7643682956695557
submit|submit|True|1.0
track|review|False|0.79690021276474
issue|track|False|0.6435178518295288
search|assign|False|0.8553996682167053
research|remove|False|0.45727840065956116
request|manage|False|0.8272947669029236
create|evaluate|False|0.6814711689949036
issue|be notify|False|0.6482152938842773
proces|capture|False|0.6233064532279968
evaluate|request|False|0.8194548487663269
support|record|False|0.6936241984367371
search|manage|False|0.8554834127426147
denote|request|False|0.657452404499054
send|assign|False|0.8303323984146118
issue|capture|False|0.5799006819725037
select|generate|False|0.8595060110092163
check|denote|False|0.7739198207855225
send|manage|False|0.7734282612800598
perform|resubmit|False|0.8137315511703491
modify|post|False|0.7628263235092163
modify|evaluate|False|0.6833224892616272
record|develop|False|0.7226797938346863
request|resubmit|True|0.9081635475158691
manage|review|False|0.7919985055923462
assign|resubmit|False|0.842004120349884
schedule|support|False|0.6083918809890747
satisfy|proces|False|0.7349404096603394
evaluate|search|False|0.8188878893852234
search|resubmit|False|0.8645691871643066
denote|search|False|0.5715620517730713
support|proces|False|0.7690797448158264
capture|proces|False|0.6565220355987549
record|create|False|0.7411673665046692
remove|issue|False|0.3822464048862457
schedule|satisfy|False|0.6987086534500122
research|proces|False|0.6469016075134277
check|request|False|0.8367925882339478
resubmit|create|False|0.7791925668716431
request|perform|True|0.9213269352912903
select|schedule|False|0.6547374725341797
manage|develop|False|0.7712448239326477
create|denote|False|0.70017409324646
modify|apply|False|0.7870115637779236
search|perform|True|0.9207472205162048
pay|post|False|0.7022662162780762
research|generate|False|0.7046082019805908
perform|successfully conduct|True|0.9358891844749451
select|send|False|0.8595814108848572
perform|be notify|False|0.7448657751083374
assign|successfully conduct|False|0.8110452890396118
review|create|False|0.6840936541557312
assign|be notify|False|0.794632077217102
send|perform|True|0.908811092376709
track|assign|False|0.8031376004219055
manage|create|False|0.7505315542221069
check|search|False|0.8379457592964172
resubmit|assign|False|0.8266281485557556
submit|post|False|0.8807753920555115
submit|evaluate|False|0.7228330969810486
modify|denote|False|0.6732333898544312
record|manage|False|0.7127615809440613
select|track|False|0.8222386240959167
track|manage|False|0.7805112600326538
develop|conduct|False|0.742145299911499
pay|check|False|0.7928874492645264
select|be notify|False|0.8020692467689514
resubmit|manage|False|0.7810081243515015
create|request|False|0.7697734236717224
pay|satisfy|False|0.7812665700912476
satisfy|send|False|0.7383201122283936
pay|apply|False|0.7033926844596863
conduct|proces|True|0.9131309390068054
generate|develop|False|0.8264434337615967
select|capture|False|0.85104900598526
research|schedule|False|0.6013326644897461
manage|assign|False|0.821297824382782
support|send|False|0.8108271956443787
capture|send|False|0.7203726768493652
issue|post|False|0.6293665170669556
select|submit|False|0.8300584554672241
submit|check|False|0.8756946325302124
record|resubmit|False|0.8143945932388306
research|send|False|0.6822103261947632
manage|manage|True|1.0
conduct|generate|False|0.8193672895431519
modify|request|False|0.80414879322052
satisfy|track|False|0.7264008522033691
submit|apply|False|0.8343537449836731
remove|review|False|0.5049288868904114
request|support|False|0.8222711682319641
complete|update|False|0.6882578134536743
generate|create|False|0.8858000636100769
create|search|False|0.6890807151794434
search|support|False|0.8309288620948792
support|track|False|0.7247501015663147
research|track|False|0.7397181391716003
satisfy|capture|False|0.6815217733383179
review|resubmit|False|0.8240962028503418
track|perform|False|0.8844233751296997
send|support|False|0.7966688871383667
submit|denote|False|0.730987012386322
manage|resubmit|False|0.8074373602867126
support|capture|False|0.7792489528656006
remove|develop|False|0.43476372957229614
check|remove|False|0.7176457643508911
modify|search|False|0.7284904718399048
record|successfully conduct|False|0.7495018243789673
research|capture|False|0.6512210965156555
evaluate|proces|False|0.7974411249160767
record|be notify|False|0.742567777633667
denote|proces|False|0.6420145034790039
send|satisfy|False|0.8399401903152466
denote|review|False|0.653821587562561
request|conduct|False|0.8845829963684082
assign|conduct|False|0.7199511528015137
conduct|send|False|0.8705726861953735
remove|create|False|0.42406556010246277
manage|perform|False|0.8928888440132141
search|conduct|False|0.8486932516098022
denote|generate|False|0.6902924180030823
update|send|False|0.8466344475746155
perform|evaluate|False|0.77915358543396
submit|request|False|0.8911639451980591
review|be notify|False|0.7527495622634888
schedule|issue|False|0.3874821364879608
conduct|track|False|0.8344541788101196
proces|request|False|0.7896930575370789
generate|resubmit|False|0.8112747669219971
search|research|False|0.8747618794441223
create|remove|False|0.6417316794395447
apply|develop|False|0.8109502196311951
remove|assign|False|0.5176631212234497
select|post|False|0.7936643362045288
select|evaluate|False|0.8320313692092896
check|proces|False|0.810537576675415
issue|request|False|0.6958704590797424
track|support|False|0.7683210372924805
conduct|capture|False|0.7296842336654663
remove|manage|False|0.48027634620666504
submit|search|False|0.7584032416343689
check|generate|False|0.8536702990531921
develop|complete|False|0.7665511965751648
apply|create|False|0.7662560343742371
modify|remove|False|0.6812163591384888
evaluate|send|False|0.8241022229194641
proces|search|False|0.7207077741622925
track|satisfy|False|0.8002896308898926
select|check|False|0.8690813779830933
generate|successfully conduct|False|0.8121538758277893
satisfy|post|False|0.7153258919715881
generate|be notify|False|0.8033169507980347
perform|denote|False|0.7067765593528748
select|apply|False|0.8648757338523865
remove|resubmit|False|0.6176813840866089
issue|search|False|0.5981633067131042
pay|issue|False|0.5330203175544739
manage|support|False|0.7667368650436401
support|post|False|0.732866108417511
capture|post|False|0.6535163521766663
create|proces|False|0.7747578024864197
develop|update|False|0.8308736085891724
research|post|False|0.6735692620277405
record|conduct|False|0.6498028635978699
apply|manage|False|0.7695266604423523
check|schedule|False|0.7800443768501282
resubmit|conduct|False|0.822799026966095
create|generate|False|0.8744416236877441
select|denote|False|0.7481347322463989
remove|perform|False|0.474161297082901
check|send|False|0.8930243849754333
modify|proces|False|0.73667973279953
research|pay|False|0.5847735404968262
review|conduct|False|0.7371190786361694
be notify|update|False|0.8853809833526611
research|check|False|0.710665762424469
submit|remove|False|0.7024553418159485
manage|conduct|False|0.734245240688324
research|satisfy|False|0.6691535711288452
research|apply|False|0.665381669998169
modify|generate|False|0.8244878053665161
apply|resubmit|False|0.8454952836036682
complete|send|False|0.7226923108100891
schedule|develop|False|0.7215533256530762
request|complete|False|0.885896623134613
select|request|False|0.8184478282928467
check|modify|False|0.8219744563102722
search|complete|False|0.8507176637649536
create|schedule|False|0.7008867859840393
conduct|post|False|0.8137784600257874
develop|record|False|0.755262017250061
update|post|False|0.8158432841300964
create|send|False|0.7970289587974548
schedule|create|False|0.6272053718566895
pay|review|False|0.716101884841919
request|update|False|0.8434898853302002
assign|update|False|0.7985718846321106
apply|successfully conduct|False|0.8663465976715088
select|search|False|0.8634431958198547
modify|schedule|False|0.6834210753440857
apply|be notify|False|0.8086140155792236
satisfy|request|False|0.7908890247344971
submit|proces|False|0.7719897627830505
generate|conduct|False|0.739172101020813
search|update|False|0.89972984790802
remove|support|False|0.4109598398208618
submit|review|False|0.8460456132888794
modify|send|False|0.8216966986656189
conduct|satisfy|True|0.9101721048355103
support|request|False|0.8257551789283752
pay|develop|False|0.6536129117012024
research|request|False|0.7331583499908447
create|modify|False|0.7984795570373535
schedule|assign|False|0.7518072724342346
proces|proces|True|1.0
develop|proces|False|0.7712242007255554
schedule|manage|False|0.7464494705200195
evaluate|post|False|0.7690131664276123
issue|proces|False|0.7273743152618408
satisfy|search|False|0.6944540143013
pay|create|False|0.6597628593444824
issue|review|False|0.6659767031669617
support|search|False|0.677459716796875
successfully conduct|create|False|0.736146092414856
perform|remove|False|0.5505096316337585
research|search|False|0.829463541507721
remove|conduct|False|0.48453018069267273
select|issue|False|0.6552097797393799
record|complete|False|0.8107020258903503
request|record|False|0.8407246470451355
schedule|resubmit|False|0.7661062479019165
assign|record|False|0.7114253044128418
resubmit|complete|False|0.8248815536499023
submit|schedule|False|0.6311320066452026
search|record|False|0.8309910893440247
evaluate|satisfy|False|0.8646190166473389
pay|assign|False|0.7698143124580383
denote|satisfy|False|0.6663622856140137
select|remove|False|0.8017370104789734
conduct|request|False|0.8917363286018372
pay|manage|False|0.6984012126922607
check|post|False|0.8340986967086792
review|complete|False|0.7907361388206482
send|develop|False|0.743912935256958
schedule|perform|False|0.8071865439414978
proces|send|False|0.78030925989151
record|update|False|0.8177416324615479
satisfy|issue|False|0.5216533541679382
manage|complete|False|0.8281903266906738
develop|send|False|0.7605701088905334
resubmit|update|False|0.881757378578186
support|issue|False|0.6114678382873535
capture|issue|False|0.5352232456207275
schedule|successfully conduct|False|0.7159395813941956
perform|proces|False|0.8820095062255859
complete|post|False|0.4882492125034332
apply|conduct|False|0.7935970425605774
research|issue|False|0.5594086050987244
assign|proces|False|0.7199141383171082
