Action 1 | Action 2 | Result | Score 
successfully conduct|track|False|0.27386221289634705
check|denote|False|0.5560553073883057
submit|select|False|0.4233427345752716
perform|update|False|0.33745601773262024
assign|successfully conduct|False|0.49602529406547546
create|be notify|False|0.3090699017047882
apply|support|False|0.5765460133552551
remove|issue|False|0.1860891729593277
assign|submit|False|0.37606775760650635
track|pay|False|0.14357951283454895
modify|assign|False|0.4798026978969574
modify|research|False|0.37010377645492554
assign|schedule|False|0.21440348029136658
review|be notify|False|0.33108752965927124
be notify|perform|False|0.3119613230228424
post|be notify|False|0.2727498412132263
conduct|develop|False|0.5343557000160217
schedule|manage|False|0.4818410873413086
record|research|False|0.28915488719940186
assign|send|False|0.35111352801322937
proces|research|False|0.42333003878593445
support|capture|False|0.3943667709827423
proces|check|False|0.32526102662086487
record|check|False|0.3691650927066803
support|track|False|0.33169737458229065
be notify|remove|False|0.15646137297153473
request|pay|False|0.2752262353897095
update|issue|False|0.33654871582984924
submit|update|False|0.3266410231590271
send|evaluate|False|0.4038628935813904
manage|issue|False|0.35895803570747375
successfully conduct|pay|False|0.11255329102277756
track|complete|False|0.2685209810733795
research|track|False|0.2864331603050232
send|perform|False|0.4259131848812103
denote|conduct|False|0.6974856853485107
send|review|False|0.41692790389060974
apply|conduct|False|0.6076716184616089
send|remove|False|0.16129817068576813
apply|develop|False|0.48053663969039917
check|manage|False|0.38271579146385193
search|pay|False|0.13217157125473022
generate|successfully conduct|False|0.5133819580078125
conduct|perform|False|0.6301400661468506
issue|support|False|0.49872466921806335
resubmit|conduct|False|0.37008753418922424
be notify|request|False|0.35966402292251587
support|proces|False|0.47836631536483765
remove|modify|False|0.27373313903808594
pay|successfully conduct|False|0.17227928340435028
remove|generate|False|0.1460777074098587
conduct|remove|False|0.17502351105213165
generate|submit|False|0.32720404863357544
assign|research|False|0.3874485194683075
generate|schedule|False|0.2270844727754593
evaluate|update|False|0.4413183927536011
issue|apply|False|0.4813077449798584
successfully conduct|complete|False|0.19771207869052887
pay|submit|False|0.19270192086696625
assign|check|False|0.3156634569168091
denote|be notify|False|0.3641607165336609
schedule|search|False|0.34892454743385315
generate|send|False|0.35523107647895813
apply|be notify|False|0.3652743697166443
update|modify|False|0.400829941034317
update|generate|False|0.35602015256881714
pay|send|False|0.19009466469287872
search|complete|False|0.20210908353328705
send|request|False|0.438559353351593
research|pay|False|0.1244143396615982
resubmit|be notify|False|0.3444307744503021
manage|modify|False|0.44987377524375916
manage|generate|False|0.4063628911972046
complete|search|False|0.2575099468231201
support|complete|False|0.22415980696678162
