Entity 1 | Entity 2 | Result | Score 
interactive preview|useful metadata|True|0.8971815705299377
exploratory data analysi|exist wizard|True|0.7798200249671936
elasticsearch integration|integration|True|0.9375120401382446
excel spreadsheet|ml dataset|True|0.6440653800964355
dspace integration|exist wizard|True|0.7052245736122131
general country name|data|True|0.5407116413116455
data|app|True|0.7962937951087952
exist wizard|data package|True|0.6267743110656738
jquery plugin|web socket protocol|True|0.8341678380966187
excel spreadsheet|exist wizard|False|0.4984695315361023
way|doi|True|0.8899592161178589
way|netcdf integration|True|0.8639432787895203
way|ml dataset|True|0.6958633661270142
command line tool|quality of data|True|0.6449776887893677
general reference data|online service|True|0.8537335395812988
remote vocabulary|ms|True|0.748557984828949
way|preview button|True|0.8402462005615234
dat integration|netcdf integration|True|0.8786281943321228
general country name|doi|True|0.8081933856010437
analysi|online service|True|0.8062350749969482
reference data on inflation|online service|False|0.42355212569236755
feather integration|data|False|0.4302455186843872
eml dataset|remote vocabulary|True|0.7131208181381226
way|spss integration|True|0.892543375492096
ml dataset|quality of data|True|0.5938593745231628
dat integration|preview button|True|0.8360833525657654
microsoft power bi integration|ms|True|0.878847062587738
integration|ms|True|0.8707842826843262
quality of data|how many user|True|0.8313130736351013
quality of data|reproducible step|True|0.8821238875389099
way|elasticsearch integration|True|0.9101079702377319
exploratory data analysi|line|True|0.8107301592826843
elasticsearch integration|microsoft power bi integration|True|0.8801119923591614
general country name|exist wizard|True|0.5072130560874939
general reference data|dspace integration|True|0.8604141473770142
excel spreadsheet|web socket protocol|True|0.6081335544586182
eprint integration|how many user|True|0.794084370136261
reference data on inflation|dspace integration|True|0.5064287781715393
feather integration|doi|True|0.676465630531311
eprint integration|reproducible step|True|0.8952050805091858
analysi|dspace integration|True|0.8363997340202332
ml dataset|reference data on inflation|False|0.41493353247642517
feather integration|netcdf integration|True|0.5949701070785522
ms|netcdf integration|True|0.7765297889709473
tool|reproducible step|True|0.8015835285186768
data package|mongo integration|True|0.767972469329834
exploratory data analysi|funding|False|0.4626999795436859
ms|preview button|True|0.7353724241256714
remote vocabulary|feather integration|True|0.7825154066085815
eml dataset|analysi|True|0.7088445425033569
dspace integration|funding|False|0.4131433963775635
way|web socket protocol|True|0.8401831984519958
new visualization|quality of data|True|0.7805860042572021
jquery plugin|dat integration|True|0.7805028557777405
general country name|web socket protocol|True|0.6535913944244385
excel spreadsheet|funding|False|0.19454842805862427
reproducible step|doi|True|0.8923230171203613
spss integration|quality of data|True|0.8195529580116272
exploratory data analysi|data package|True|0.8848353028297424
dat integration|app|True|0.8763375878334045
remote vocabulary|data|True|0.6484132409095764
dspace integration|data package|True|0.7287348508834839
jquery plugin|command line tool|True|0.8154704570770264
mongo integration|integration|True|0.8560790419578552
feather integration|web socket protocol|True|0.6567624807357788
spss integration|reference data on inflation|True|0.5725977420806885
general country name|funding|False|0.34485936164855957
microsoft power bi integration|data|True|0.7565053701400757
integration|data|True|0.8076432347297668
excel spreadsheet|data package|True|0.7694107890129089
line|app|True|0.747596263885498
excel spreadsheet|dat integration|True|0.7050299048423767
dspace integration|tool|True|0.593885064125061
how many user|reproducible step|True|0.8406991362571716
ml dataset|hdf5 integration|True|0.6970260143280029
visualization|online service|True|0.7932036519050598
remote vocabulary|doi|True|0.7597854137420654
exploratory data analysi|command line tool|True|0.7624900937080383
exploratory data analysi|interactive preview|True|0.8829514980316162
eml dataset|elasticsearch integration|True|0.8083660006523132
dspace integration|interactive preview|True|0.7905011177062988
feather integration|funding|False|0.3207547068595886
reproducible step|web socket protocol|True|0.8751915693283081
way|dat integration|True|0.8796616196632385
remote vocabulary|exist wizard|True|0.6716127395629883
general country name|data package|True|0.5403510332107544
excel spreadsheet|command line tool|True|0.6272843480110168
eprint integration|reference data on inflation|True|0.5163378715515137
excel spreadsheet|interactive preview|True|0.7324028015136719
mongo integration|microsoft power bi integration|True|0.7809550166130066
microsoft power bi integration|exist wizard|True|0.7389956116676331
integration|exist wizard|True|0.7877533435821533
data package|integration|True|0.8364450931549072
mongo integration|general country name|True|0.690668523311615
type information|useful metadata|True|0.913733184337616
new visualization|general country name|True|0.6014988422393799
hdf5 integration|useful metadata|True|0.8063904047012329
reference data on inflation|netcdf integration|True|0.5250102877616882
interactive preview|exist wizard|True|0.8726728558540344
new visualization|hdf5 integration|True|0.8458433747291565
way|command line tool|True|0.6911824345588684
general reference data|doi|True|0.9061228036880493
visualization|ms|True|0.803753137588501
elasticsearch integration|online service|True|0.8273815512657166
general reference data|netcdf integration|True|0.8849861025810242
general country name|command line tool|False|0.4464123845100403
