Entity 1 | Entity 2 | Result | Score 
eprint integration|dat integration|False|0.30764040350914
remote vocabulary|type information|True|0.798959493637085
dat integration|eml dataset|False|0.3145110011100769
reference data on inflation|funding|False|0.24139094352722168
elasticsearch integration|preview button|False|0.3064286410808563
dat integration|remote vocabulary|False|0.35869744420051575
hdf5 integration|microsoft power bi integration|False|0.33965325355529785
data|web socket protocol|False|0.3660307228565216
reference data on inflation|eprint integration|False|0.2626549005508423
web socket protocol|interactive preview|False|0.41240131855010986
general country name|how many user|False|0.24957330524921417
online service|web socket protocol|False|0.36122530698776245
feather integration|interactive preview|False|0.35434308648109436
data package|spss integration|False|0.5642445683479309
new visualization|way|True|0.9053499102592468
new visualization|type information|True|0.7893423438072205
quality of data|mongo integration|False|0.32399433851242065
type information|integration|True|0.8822450041770935
elasticsearch integration|general country name|False|0.1135043278336525
command line tool|mongo integration|False|0.3183683156967163
exploratory data analysi|reproducible step|False|0.39047664403915405
tool|funding|False|0.2803973853588104
elasticsearch integration|data package|False|0.3348619043827057
dat integration|netcdf integration|False|0.2505083680152893
online service|elasticsearch integration|False|0.3873135447502136
preview button|ms|False|0.5080530047416687
reproducible step|eprint integration|False|0.41203418374061584
app|preview button|False|0.38499632477760315
type information|jquery plugin|False|0.3907734155654907
microsoft power bi integration|exist wizard|False|0.3252078592777252
exploratory data analysi|interactive preview|False|0.3964405059814453
microsoft power bi integration|reproducible step|False|0.3735988140106201
spss integration|netcdf integration|False|0.19173406064510345
way|jquery plugin|False|0.48572105169296265
funding|dat integration|False|0.36956095695495605
way|exploratory data analysi|False|0.5965532660484314
exist wizard|web socket protocol|False|0.42010390758514404
excel spreadsheet|general reference data|False|0.33558204770088196
app|general country name|False|0.13423310220241547
dspace integration|spss integration|False|0.23302289843559265
ml dataset|elasticsearch integration|False|0.3750323951244354
preview button|general country name|False|0.1597650647163391
app|data package|False|0.2919904887676239
preview button|data package|False|0.4702010154724121
general country name|app|False|0.20675714313983917
line|elasticsearch integration|False|0.4955999255180359
way|microsoft power bi integration|False|0.5939651727676392
dat integration|mongo integration|False|0.2300383299589157
quality of data|reproducible step|False|0.6700839400291443
command line tool|exist wizard|False|0.3179272413253784
doi|general reference data|True|0.7562185525894165
app|online service|False|0.36581698060035706
command line tool|reproducible step|False|0.3863684833049774
interactive preview|type information|True|0.8292261958122253
preview button|online service|False|0.46004197001457214
general country name|ml dataset|False|0.2929224967956543
excel spreadsheet|hdf5 integration|False|0.33669742941856384
spss integration|mongo integration|False|0.1531667411327362
general reference data|preview button|False|0.45920485258102417
quality of data|interactive preview|False|0.5443794131278992
command line tool|interactive preview|False|0.3123430013656616
netcdf integration|web socket protocol|False|0.30298155546188354
online service|command line tool|False|0.23664723336696625
remote vocabulary|web socket protocol|False|0.28421738743782043
dspace integration|new visualization|False|0.40327852964401245
integration|analysi|False|0.6473825573921204
doi|hdf5 integration|False|0.4578649699687958
useful metadata|exist wizard|False|0.6362983584403992
spss integration|preview button|False|0.41706016659736633
web socket protocol|integration|False|0.3502287268638611
useful metadata|ms|True|0.764611542224884
ms|exploratory data analysi|False|0.4047349691390991
hdf5 integration|web socket protocol|False|0.3958401381969452
general reference data|general country name|False|0.23231764137744904
feather integration|integration|False|0.4352933168411255
