Persona 1 | Persona 2 | Result | Score 
development staff member|enforcement staff member|True|0.776561439037323
development staff member|technical staff member|True|0.8989180326461792
county staff member|technical staff member|True|0.7786175608634949
public user|technical staff member|True|0.7508947849273682
zoning staff member|zoning staff member|True|1.0
inspector|county staff member|True|0.8355692625045776
applicant|customer|True|0.7259610295295715
planning staff member|customer|True|0.7722716927528381
plan review staff member|customer|True|0.7222281694412231
plan review staff member|inspection staff member|True|0.8467052578926086
public user|plan review staff member|True|0.7998679280281067
customer|development staff member|True|0.8475998640060425
staff member|inspection supervisor|True|0.8705086708068848
inspection staff member|enforcement staff member|True|0.8403938412666321
inspection staff member|technical staff member|True|0.8548072576522827
county staff member|staff member|True|0.9165170192718506
public user|staff member|True|0.7370155453681946
public user|inspector|True|0.7336866855621338
staff member|zoning staff member|True|0.8952850103378296
prospectiveapplicant|plan review staff supervisor|True|0.8592403531074524
customer|plan review staff member|True|0.8216486573219299
development staff member|county staff member|True|0.8385032415390015
public user|inspection staff supervisor|True|0.8431496620178223
zoning staff member|applicant|False|0.6419636607170105
inspection staff member|inspector|True|0.929813802242279
public user|planning staff member|True|0.7948824763298035
prospectiveapplicant|enforcement staff member|True|0.7628772854804993
technical staff member|staff member|True|0.943387508392334
prospectiveapplicant|technical staff member|True|0.8259291648864746
customer|staff member|True|0.8584458231925964
inspection staff supervisor|enforcement staff member|True|0.874454140663147
applicant|plan review staff supervisor|True|0.830090343952179
planning staff member|plan review staff supervisor|True|0.945984423160553
plan review staff member|plan review staff supervisor|True|0.9543653130531311
inspection staff member|county staff member|True|0.8357208371162415
zoning staff member|customer|False|0.6707934737205505
customer|inspection staff supervisor|True|0.8611894249916077
applicant|enforcement staff member|True|0.7617128491401672
staff member|applicant|True|0.7060168385505676
planning staff member|enforcement staff member|True|0.7908967733383179
planning staff member|technical staff member|True|0.8578524589538574
plan review staff member|enforcement staff member|True|0.7844219207763672
plan review staff member|technical staff member|True|0.8408007621765137
customer|inspection supervisor|True|0.814179539680481
customer|zoning staff member|True|0.7733631730079651
prospectiveapplicant|county staff member|True|0.7440366148948669
staff member|customer|True|0.7832666635513306
inspector|staff member|True|0.8282892107963562
prospectiveapplicant|prospectiveapplicant|True|1.0
plan review staff supervisor|inspection supervisor|True|0.8717328310012817
applicant|inspection staff member|True|0.8077954649925232
planning staff member|inspection staff member|True|0.8584518432617188
planning staff member|county staff member|True|0.8586661219596863
plan review staff member|county staff member|True|0.8191403150558472
zoning staff member|plan review staff supervisor|True|0.8642600774765015
inspection supervisor|enforcement staff member|True|0.8856950402259827
inspection supervisor|technical staff member|True|0.8696693778038025
development staff member|staff member|True|0.9506233930587769
customer|applicant|True|0.7298724055290222
zoning staff member|enforcement staff member|True|0.787541925907135
development staff member|inspector|True|0.8309890627861023
prospectiveapplicant|development staff member|True|0.8027766346931458
plan review staff supervisor|applicant|True|0.7440909147262573
development staff member|inspection staff supervisor|True|0.8692561388015747
staff member|plan review staff supervisor|True|0.922062873840332
enforcement staff member|technical staff member|True|0.78322434425354
inspection staff member|staff member|True|0.9176309704780579
development staff member|inspection supervisor|True|0.8551071286201477
customer|customer|True|1.0
public user|inspection supervisor|True|0.7975629568099976
staff member|enforcement staff member|True|0.8745934963226318
applicant|development staff member|True|0.8062032461166382
planning staff member|development staff member|True|0.8893637657165527
