story|action|classified_action|similarity
As a Public User, I want to Search for Information, so that I can obtain publicly available information concerning properties, County services, processes and other general information|search|read|0.22956138849258423
As a ProspectiveApplicant, I want to research requirements, so that I can find the relevant service and/or application type to initiate via the online portal|research|update|0.06638165563344955
As a ProspectiveApplicant, I want to select a service, so that I can find the relevant service and/or application type to initiate via the online portal|select|read|0.0909794345498085
As an Applicant, I want to Request PreApplication Assistance, so that I can receive a response to a request for a meeting or information that is a result of the preapplication assistance|request|read|0.20972654223442078
As a Customer, I want to Create a Customer Portal User Account, so that I can log on to the Customer Portal and perform transactions that first require user authentication|create|read|0.24378164112567902
As an Applicant, I want to Submit Application, so that I can provide my information, plans and/or documents to initiate a transaction with the County|submit|read|0.176908478140831
As an Applicant, I want to Submit Supporting Documentation, so that I can satisfy documentation requirements for my application|submit|read|0.3513616919517517
As an Applicant, I want to Pay Fee, so that I can satisfy outstanding charge associated with the service requested or received from the County|pay|read|0.14382456243038177
As an Applicant, I want to Check the Status of a transaction, so that I can understand where the provisioning of my service is in the process, such as information related to service levels, fees, plan review, permit, or inspection results|check|read|0.09872016310691833
As an Applicant, I want to Modify my Application, so that I can successfully change information on an application|modify|update|0.22441983222961426
As a Staff member, I want to Perform a Completeness Review, so that I can validate when an application is complete and eligible for further technical review|perform|read|0.22964197397232056
As a Staff member, I want to Record an Internal Note, so that I can share information with other Staff collaborating on the record|record|read|0.21714575588703156
As a Staff member, I want to Assign an Application for Detailed Review, so that I can review the for compliance and subsequently approved or denied|assign|read|0.2668929994106293
As a Staff member, I want to Apply a Hold, so that I can prevent progression through the workflow or other actions in the system until the issue is resolved|apply|read|0.3354308307170868
As a Staff member, I want to Remove a Hold, so that I can allow progression through the workflow or other actions in the system now that the issue has been resolved|remove|create|0.3160838186740875
As a Staff member, I want to Send a Formal Response to Applicant, so that I can satisfy communication and records responsibilities|send|read|0.29106947779655457
As a Staff member, I want to Track  the Draft Proffers, so that I can preserve the history of draft proffer statements submitted by the Applicant|track|read|0.2883376479148865
As a Staff member, I want to Manage Approved Proffers, so that I can ensure compliance with and satisfaction of the proffer in the future|manage|update|0.2481834590435028
As a Staff member, I want to Manage Ordinances, so that I can maintain accurate ordinance information in the System|manage|create|0.24693074822425842
As a Staff member, I want to Schedule a Meeting, so that I can bring the required parties together at a specific date/time to address an issue|schedule|read|0.25692588090896606
As a staff member, I want to denote an application with a Final Action status. So that I can finish it|denote|update|0.2339542806148529
As a Planning Staff member, I want to Conduct Plan Amendments, so that I can record work in process, outcome, and location-based information related to the Plan(s)|conduct|read|0.20302894711494446
As a Planning Staff member, I want to track Plan Amendments, so that I can record work in process, outcome, and location-based information related to the Plan(s)|track|read|0.22073207795619965
As a Planning Staff member, I want to Conduct Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s)|conduct|read|0.19472159445285797
As a Planning Staff member, I want to Track Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s)|track|read|0.20915542542934418
As a Planning Staff member, I want to Generate Planning-related Reports, so that I can access, analyze and/or export the needed information in the format I requested|generate|read|0.23713167011737823
As a Planning Staff member, I want to Evaluate Consistency with the Comprehensive Plan, so that I can complete my required review of a plan set and/or application|evaluate|read|0.23090305924415588
As a Staff member, I want to Perform a Staff Review, so that I can validate compliance of an application with the Zoning Ordinance and impact approval/denial of the application accordingly|perform|read|0.2538280189037323
As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant|process|read|0.2513338029384613
As a Zoning Staff member, I want to Issue the Zoning-Related Permits, so that I can satisfy an Applicant's request for service that has proven to be eligible and in compliance with the Zoning Ordinance|issue|read|0.23865024745464325
As a Staff member, I want to Develop a Staff Report, so that I can publish and distribute the report according to business rules|develop|read|0.19158194959163666
As a Staff member, I want to Manage Hearing Calendars, so that I can track hearing-related activities and due dates|manage|create|0.2911507785320282
