story|action|classified_action|similarity
As a PI, I want to properly record all metadata, so that I can ensure proper running of the project in case of staff changes|properly record|update|0.21434150636196136
As a researcher, I want to indicate where my data will be stored during the project and where after the project, so that it remains accessible during all stages of the data lifecycle|indicate|update|0.2713603973388672
As a researcher, I want to import metadata that I captured with a metadata tool, so that I do not have to capture it again in a DMP|import|read|0.2535770535469055
As a data manager, I want to know how the data is used, so that I can develop more detailed usage and support scenarios with researchers|know|read|0.306169331073761
As a repository owner, I want to be able to check the planned provenance of the data that will be submitted at the end of a project, so that I can calculate necessary submission fees and check whether it belongs to our target group|check|read|0.2346770018339157
As an IT manager, I want to know about IT resource requirements early in the project lifecycle, so that I can enable resource acquisition planning|know|update|0.3389122486114502
As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it|plan|update|0.19855332374572754
As an IT staff member, I want to know the security requirements of the data, so that I know which kind of security measures to apply|know|update|0.3103662133216858
As a data manager, I want to have the description of collected data sets that are used or updated throughout the project lifecycle, so that I can ensure the descriptions are current and add detail as the study proceeds|have|read|0.3621586859226227
As a researcher, I want to know which topics are mandatory and similar in all DMPs, so that I can save time through quickly writing it|know|update|0.39041683077812195
As a data manager, I want to know what the content of the data is, so that I can decide to which collection or repository the data fits|know|read|0.3679320812225342
As a PI, I want to record information about my DMP, so that an Ethics Committee can review this for compliance with ethical standards|record|read|0.2621736228466034
As a legalofficer, I want to know about data sensitivity, so that I can establish sharing options|know|read|0.27301502227783203
As a data librarian, I want to extract pointers from the DMP to metadata held in other systems, so that I can import this metadata into a data catalogue|extract|read|0.33997008204460144
As an IT staff member, I want to have an estimate of the produced data volume, so that I can plan the overall storage consumption|have|read|0.3484708070755005
As an administrator, I want to know who funded the project and their requirements, so that I can track the funder specific obligations|know|update|0.2698761522769928
As an archivemanager, I want to know the legal status of data, so that I can apply the legal requirements accordingly|know|read|0.13032910227775574
As a data manager, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required|know|read|0.3767794668674469
As an IT staff member, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required|know|read|0.355198472738266
As an archivemanager, I want to know in advance the conservation period of data, so that I can better organize the service by adapting the preservation actions|know in advance|read|0.24122914671897888
As a data manager, I want to document all rights necessary for managing the data, so that I can curate and preserve the data|document|update|0.2984124422073364
As a data manager, I want to know what the content of the data is, so that I can check whether the necessary expertise for maintaining intellectual reusability is available|know|read|0.3679320812225342
As a research head, I want to access to the persistent identifiers of datasets provided in the DMP, so that I can check that the DMP has been implemented|access|read|0.24499478936195374
As a funder, I want to be able to read the costs for data management from the DMP, so that I can check whether our policies work as intended|read|read|0.2923673987388611
As a researcher, I want the DMP to prepopulate information that I have already entered in other institutional systems, so that I do not have to re-enter information ensuring the DMP contains accurate and standardized information|want|read|0.34304413199424744
As a stakeholder, I want to know when the data management plan was created or updated, so that I know how up-to-date the plan is or whether it needs to be updated|know|update|0.3584240674972534
As a stakeholder, I want to know who is responsible for the DMP, so that I can ask them about further details|know|update|0.24445544183254242
As a stakeholder, I want to have references to the project proposal, so that I can look up further general information|have|read|0.20063063502311707
As a metadata manager, I want to have a short description of project, so that I can be informed about the metadata description|have|read|0.3881762623786926
As a rector, I want to know how many data will be stored, so that I can plan long term resources|know|read|0.2888777256011963
As a data manager, I want to know the time plan for collecting data, so that I can plan the data management|know|read|0.3643835186958313
As a data librarian, I want to import administrative information regarding a project into DMP, so that I can prepopulate the DMP|import|read|0.30160972476005554
