As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations. -> As a Publisher, I want to add type information to my data, so that it is more useful to others and can be used better with tools like visualization programs.
As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations. -> As a research publisher, I want to know that my data conforms to its data package profile, so that I can feel trust in the validity and usefulness of the data.
As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations. -> As a Researcher, I want to be able to translate my EML dataset to a Data Package, so that I can benefit from the wide array of tools available for Data Packages.
As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations. -> As a Researcher, I want to get my Excel spreadsheet into a Data Package, so that I can benefit from better tooling and standardization.
As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations. -> As a Machine Learning expert, I would like to package ML datasets as data packages, so that I can easily import them into my ML platform, so that I can start using the data in doing analysis.
As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations. -> As a research government publisher, I want to add general reference data to my narrow dataset, so that my dataset is more useful.
As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations. -> As a Publisher, I want to store my data quickly and easily online.
As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations. -> As a research publisher, I want validate my data with a minimum of clicks, so that I can feel trust in the validity and usefulness of the data.
As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations. -> As a publisher, I want to be able to check that every time I update my data it is still good, so that I can catch errors early and store reliable data.
As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations. -> As a Civic Tech Activist, I want to make it easy to assess the quality of data stored by the government, so that I can make sure that government is living up to its transparency commitments.
As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations. -> As a Publisher, I want to add useful metadata to make the dataset more useful.
As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations. -> As a research publisher, I want to add a DOI to a dataset, so that I can cite it in papers stored  with the data.
As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. -> As a Publisher, I want to add type information to my data, so that it is more useful to others and can be used better with tools like visualization programs.
As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. -> As a research publisher, I want to know that my data conforms to its data package profile, so that I can feel trust in the validity and usefulness of the data.
As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. -> As a Researcher, I want to be able to translate my EML dataset to a Data Package, so that I can benefit from the wide array of tools available for Data Packages.
As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. -> As a Researcher, I want to get my Excel spreadsheet into a Data Package, so that I can benefit from better tooling and standardization.
As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. -> As a Machine Learning expert, I would like to package ML datasets as data packages, so that I can easily import them into my ML platform, so that I can start using the data in doing analysis.
As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. -> As a research government publisher, I want to add general reference data to my narrow dataset, so that my dataset is more useful.
As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. -> As a Publisher, I want to store my data quickly and easily online.
As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. -> As a research publisher, I want validate my data with a minimum of clicks, so that I can feel trust in the validity and usefulness of the data.
As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. -> As a publisher, I want to be able to check that every time I update my data it is still good, so that I can catch errors early and store reliable data.
As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. -> As a Civic Tech Activist, I want to make it easy to assess the quality of data stored by the government, so that I can make sure that government is living up to its transparency commitments.
As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. -> As a Publisher, I want to add useful metadata to make the dataset more useful.
As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations. -> As a research publisher, I want to add a DOI to a dataset, so that I can cite it in papers stored  with the data.
As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data. -> As a research publisher, I want to know that my data conforms to its data package profile, so that I can feel trust in the validity and usefulness of the data.
As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data. -> As a Developer, I want to operationalize that analysis in Python, so that I can use the best tool for the job.
As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data. -> As a research government publisher, I want to add general reference data to my narrow dataset, so that my dataset is more useful.
As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data. -> As a research government publisher, I want to add general country names to my dataset that only contains country codes, so that my dataset is more readable.
As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data. -> As a Publisher, I want to store my data quickly and easily online.
As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data. -> As a research publisher, I want validate my data with a minimum of clicks, so that I can feel trust in the validity and usefulness of the data.
As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data. -> As a publisher, I want to be able to check that every time I update my data it is still good, so that I can catch errors early and store reliable data.
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. -> As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations.
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. -> As a Researcher, I want to get a Data Package into Julia in seconds, so that I can start using the data for doing analysis and visualizations.
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. -> As a Publisher, I want to add type information to my data, so that it is more useful to others and can be used better with tools like visualization programs.
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. -> As a Publisher, I want to be able to provide a visualization of data in the Data Package, so that I can provide my analysis and show my work to users of the data.
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. -> As a research publisher, I want to know that my data conforms to its data package profile, so that I can feel trust in the validity and usefulness of the data.
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. -> As a Researcher, I want to get a Data Package into R in seconds, so that I can start using the data for doing analysis and visualizations.
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. -> As a Researcher, I want to get a data package into Excel in seconds, so that I can start using the data for doing analysis and visualizations.
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. -> As a Researcher, I want to get a Data Package into SPSS in seconds, so that I can start using the data for doing analysis and visualizations.
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. -> As a Researcher, I want to get a Data Package into STATA in seconds, so that I can start using the data for doing analysis and visualizations.
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. -> As a Researcher, I want to get a Data Package into LibreOffice/OpenOffice in seconds, so that I can start using the data for doing analysis and visualizations.
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. -> As a Developer, I want to get a Data Package into Python in seconds, so that I can start using the data for doing analysis and visualizations.
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. -> As a Developer, I want to do exploratory data analysis in R, so that I can use the best tool for the job.
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. -> As a Developer, I want to operationalize that analysis in Python, so that I can use the best tool for the job.
As a Researcher, I want to be able to save new visualizations, so that I can share them with others or include them in the Data Package. -> As a Developer, I want to get a Data Package into Clojure in seconds, so that I can start using the data in doing analysis and visualizations.
