analysis|analysis|True
analysis|data integration|False
analysis|data|False
analysis|data package|False
analysis|doi|False
analysis|elasticsearch integration|False
analysis|eml dataset|False
analysis|eprint integration|False
analysis|excel spreadsheet|True
analysis|general reference data|False
analysis|hdf5 integration|True
analysis|integration|False
analysis|interactive preview|False
analysis|microsoft power bi integration|True
analysis|ml dataset|False
analysis|mongo integration|False
analysis|new visualization|True
analysis|online service|False
analysis|preview button|False
analysis|remote - control vocabulary|False
analysis|spss integration|True
analysis|tool|True
analysis|way|True
analysis|web socket protocol|False
app|analysis|True
app|app|True
app|command line tool|True
app|data integration|False
app|data|False
app|data package|False
app|doi|False
app|dspace integration|False
app|elasticsearch integration|True
app|eml dataset|False
app|eprint integration|False
app|excel spreadsheet|True
app|exploratory data analysis|True
app|funding|False
app|general reference data|False
app|hdf5 integration|True
app|integration|True
app|interactive preview|True
app|microsoft power bi integration|True
app|ml dataset|False
app|mongo integration|True
app|new data column|False
app|new visualization|True
app|online service|True
app|preview button|True
app|reference data on inflation|False
app|remote - control vocabulary|False
app|spss integration|True
app|tool|True
app|type information|False
app|useful metadata|False
app|visualization|True
app|way|True
app|web socket protocol|False
command line tool|analysis|True
command line tool|command line tool|True
command line tool|data integration|False
command line tool|data|False
command line tool|data package|False
command line tool|doi|False
command line tool|elasticsearch integration|True
command line tool|eml dataset|False
command line tool|eprint integration|True
command line tool|excel spreadsheet|False
command line tool|general reference data|False
command line tool|hdf5 integration|True
command line tool|integration|True
command line tool|interactive preview|True
command line tool|microsoft power bi integration|True
command line tool|ml dataset|True
command line tool|mongo integration|True
command line tool|new visualization|False
command line tool|online service|True
command line tool|preview button|False
command line tool|remote - control vocabulary|False
command line tool|spss integration|True
command line tool|tool|True
command line tool|useful metadata|False
command line tool|way|True
command line tool|web socket protocol|True
data integration|data integration|True
data integration|microsoft power bi integration|True
data|data integration|False
data|data|True
data|data package|True
data|elasticsearch integration|False
data|general reference data|True
data|microsoft power bi integration|False
data|new visualization|False
data package|data integration|False
data package|data package|True
data package|elasticsearch integration|False
data package|general reference data|True
data package|microsoft power bi integration|False
data package|new visualization|True
doi|data integration|False
doi|data|False
doi|data package|False
doi|doi|True
doi|elasticsearch integration|False
doi|excel spreadsheet|False
doi|general reference data|True
doi|hdf5 integration|False
doi|integration|False
doi|microsoft power bi integration|True
doi|ml dataset|False
doi|new visualization|False
doi|online service|False
doi|preview button|False
doi|remote - control vocabulary|False
doi|spss integration|False
doi|web socket protocol|False
dspace integration|analysis|False
dspace integration|command line tool|False
dspace integration|data integration|True
dspace integration|data|True
dspace integration|data package|False
dspace integration|doi|True
dspace integration|dspace integration|True
dspace integration|elasticsearch integration|True
dspace integration|eml dataset|False
dspace integration|eprint integration|True
dspace integration|excel spreadsheet|False
dspace integration|exploratory data analysis|False
dspace integration|funding|True
