Action 1 | Action 2 | Result | Score 
access|access|True|1.0
access|be inform|False|0.8096504807472229
access|document|False|0.7139519453048706
access|get|True|0.905026376247406
access|import|False|0.7728855609893799
access|indicate|False|0.8113213181495667
access|link|False|0.7621039748191833
access|properly record|False|0.8366659283638
access|reuse|False|0.8318279981613159
access|see|False|0.78375643491745
be inform|be inform|True|1.0
be inform|get|False|0.8337805867195129
be inform|import|False|0.7055178880691528
be inform|indicate|False|0.8237963914871216
be inform|link|False|0.6623321771621704
be inform|properly record|False|0.8118513226509094
be inform|reuse|False|0.8039136528968811
be inform|see|False|0.7623593807220459
check|access|False|0.8198167681694031
check|be inform|False|0.8476585745811462
check|check|True|1.0
check|clarify|False|0.8511987924575806
check|document|False|0.6611649990081787
check|ensure|False|0.863060712814331
check|extract|False|0.8396478295326233
check|get|False|0.8594056367874146
check|import|False|0.7172542214393616
check|indicate|False|0.8365371227264404
check|know in advance|False|0.7933115363121033
check|link|False|0.6749052405357361
check|plan|False|0.8340139985084534
check|properly record|False|0.8193992972373962
check|receive|False|0.8945519924163818
check|record|False|0.8482820987701416
check|reuse|False|0.7850370407104492
check|see|False|0.7978505492210388
clarify|access|False|0.7123319506645203
clarify|be inform|False|0.7973333597183228
clarify|clarify|True|1.0
clarify|document|False|0.5913020968437195
clarify|get|False|0.7538239359855652
clarify|import|False|0.6301253437995911
clarify|indicate|False|0.7677757740020752
clarify|link|False|0.6223345398902893
clarify|properly record|False|0.8033431172370911
clarify|reuse|False|0.8402742743492126
clarify|see|False|0.6041805148124695
document|be inform|False|0.7327396869659424
document|document|True|1.0
document|get|False|0.7169458270072937
document|import|False|0.5786424875259399
document|indicate|False|0.6972730755805969
document|link|False|0.541391909122467
document|properly record|False|0.7954654097557068
document|reuse|False|0.6515859365463257
document|see|False|0.6294915676116943
ensure|access|False|0.6834672093391418
ensure|be inform|False|0.8087420463562012
ensure|clarify|False|0.8336763978004456
ensure|document|False|0.4948256313800812
ensure|ensure|True|1.0
ensure|get|False|0.7796946167945862
ensure|import|False|0.6846894025802612
ensure|indicate|False|0.8306149244308472
ensure|know in advance|False|0.804818332195282
ensure|link|False|0.5898817777633667
ensure|properly record|False|0.7755371928215027
ensure|reuse|False|0.8523633480072021
ensure|see|False|0.6218395233154297
extract|access|False|0.748731791973114
extract|be inform|False|0.6568753123283386
extract|clarify|False|0.7206206917762756
extract|document|False|0.5837181210517883
extract|ensure|False|0.6485989093780518
extract|extract|True|1.0
extract|get|False|0.8273325562477112
extract|import|False|0.7628318071365356
extract|indicate|False|0.6476174592971802
extract|know in advance|False|0.559006929397583
extract|link|False|0.5704568028450012
extract|properly record|False|0.7188481688499451
extract|receive|False|0.8527248501777649
extract|record|False|0.7440178394317627
extract|reuse|False|0.732823371887207
extract|see|False|0.5772714018821716
get|get|True|1.0
get|import|False|0.6499036550521851
get|see|False|0.8064448833465576
have|access|False|0.7517881989479065
have|be inform|False|0.7410279512405396
have|check|False|0.7737893462181091
have|clarify|False|0.7437852621078491
have|document|False|0.45069995522499084
have|ensure|False|0.7083011865615845
have|extract|False|0.791342556476593
