Action 1 | Action 2 | Result | Score 
apply|apply|False|0.0
apply|assign|False|0.5517352819442749
apply|be notify|False|0.3652743697166443
apply|capture|False|0.5079984068870544
apply|check|False|0.5389510989189148
apply|complete|False|0.2640158534049988
apply|conduct|False|0.6076716184616089
apply|create|False|0.3554285764694214
apply|denote|True|0.8386729955673218
apply|develop|False|0.48053663969039917
apply|evaluate|True|0.7697594165802002
apply|generate|False|0.5233013033866882
apply|issue|False|0.668890655040741
apply|manage|False|0.5152674317359924
apply|modify|False|0.5679664015769958
apply|pay|False|0.2877538800239563
apply|perform|False|0.48353099822998047
apply|post|False|0.49487796425819397
apply|prepare|False|0.4950336217880249
apply|process|True|0.7234641313552856
apply|record|False|0.5409049987792969
apply|remove|False|0.16590870916843414
apply|request|False|0.5712649822235107
apply|research|False|0.4970768988132477
apply|resubmit|False|0.3143658936023712
apply|review|True|0.7530253529548645
apply|satisfy|True|0.8175849318504333
apply|schedule|False|0.25071677565574646
apply|search|False|0.47036436200141907
apply|select|False|0.49035653471946716
apply|send|False|0.324658066034317
apply|submit|False|0.37594935297966003
apply|successfully conduct|False|0.5243075489997864
apply|support|False|0.5765460133552551
apply|track|False|0.5538251399993896
apply|update|False|0.46121469140052795
assign|apply|False|0.3892686367034912
assign|assign|False|0.0
assign|be notify|False|0.3002643585205078
assign|capture|False|0.38601794838905334
assign|check|False|0.3156634569168091
assign|complete|False|0.2461073398590088
assign|conduct|False|0.5007714033126831
assign|create|False|0.32489997148513794
assign|denote|True|0.8091644048690796
assign|develop|False|0.4599459767341614
assign|evaluate|False|0.6459924578666687
assign|generate|False|0.4264974594116211
assign|issue|False|0.5102392435073853
assign|manage|False|0.6227201223373413
assign|modify|False|0.43757525086402893
assign|pay|False|0.15318764746189117
assign|perform|False|0.5770551562309265
assign|post|False|0.3367566168308258
assign|prepare|False|0.41557541489601135
assign|process|False|0.5873258113861084
assign|record|False|0.44327375292778015
assign|remove|False|0.19916932284832
assign|request|False|0.4580691456794739
